denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,191,6,197,1216,1413,-9,7,1392,388,,,3193,57897,40345
Basilicata,29,1,30,63,93,-11,0,272,27,,,392,22581,22016
Calabria,53,2,55,346,401,-21,0,655,95,,,1151,56167,54333
Campania,342,17,359,1314,1673,-23,11,2623,399,,,4695,143478,67155
Emilia-Romagna,708,105,813,4712,5525,-131,35,17756,3986,,,27267,263888,166240
Friuli Venezia Giulia,81,3,84,537,621,-33,7,2257,320,,,3198,104874,65184
Lazio,1137,73,1210,2616,3826,-84,39,3031,628,,,7485,209472,167859
Liguria,360,23,383,1956,2339,-117,32,5485,1367,,,9191,81485,47984
Lombardia,4482,252,4734,22339,27073,-357,175,42403,15543,,,85019,581437,343213
Marche,156,17,173,2142,2315,-250,11,3379,984,,,6678,89085,55988
Molise,9,2,11,206,217,1,11,183,22,,,422,11514,11285
P.A. Bolzano,52,6,58,249,307,-7,1,1984,291,,,2582,54861,24930
P.A. Trento,41,8,49,199,248,-53,13,3650,453,,,4351,70173,41383
Piemonte,1589,99,1688,8186,9874,-365,72,16113,3632,,,29619,253479,170556
Puglia,254,22,276,1719,1995,-22,7,1920,471,,,4386,91901,63403
Sardegna,72,10,82,298,380,-25,0,847,126,,,1353,43387,37684
Sicilia,137,13,150,1389,1539,-16,7,1589,267,,,3395,118859,106277
Toscana,197,66,263,2310,2573,-229,13,6399,989,,,9961,205201,148580
Umbria,24,2,26,51,77,-1,0,1274,73,,,1424,56279,39512
Valle d'Aosta,30,0,30,30,60,-8,1,971,143,,,1174,12327,9595
Veneto,263,22,285,3719,4004,-37,9,13143,1803,,,18950,513021,275851
