denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,341,75,416,835,1251,40,61,113,133,,,1497,10647,
Basilicata,38,19,57,176,233,8,9,3,10,,,246,2427,
Calabria,163,19,182,445,627,17,22,23,41,,,691,10679,
Campania,503,120,623,1517,2140,164,225,149,167,,,2456,17404,
Emilia-Romagna,3944,366,4310,7549,11859,370,546,1663,1811,,,15333,60507,
Friuli Venezia Giulia,199,60,259,1035,1294,88,114,376,129,,,1799,17121,
Lazio,1169,181,1350,1529,2879,121,169,369,185,,,3433,41575,
Liguria,1120,172,1292,1368,2660,15,122,634,488,,,3782,12069,
Lombardia,11762,1351,13113,12763,25876,111,1292,12229,7960,,,46065,128286,
Marche,986,164,1150,2405,3555,99,136,40,503,,,4098,12943,
Molise,30,8,38,95,133,2,5,21,11,,,165,1229,
P.A. Bolzano,279,60,339,821,1160,48,61,190,129,,,1479,12677,
P.A. Trento,339,78,417,1170,1587,104,133,229,187,,,2003,8496,
Piemonte,3341,453,3794,5005,8799,329,558,571,983,,,10353,32100,
Puglia,645,118,763,1101,1864,108,131,69,144,,,2077,16554,
Sardegna,117,24,141,577,718,43,49,36,40,,,794,5970,
Sicilia,503,73,576,1030,1606,62,73,92,93,,,1791,17833,
Toscana,1135,295,1430,3359,4789,357,406,216,268,,,5273,40724,
Umbria,171,47,218,667,885,21,33,205,38,,,1128,9737,
Valle d'Aosta,85,25,110,446,556,16,37,49,63,,,668,1934,
Veneto,1670,345,2015,6563,8578,354,486,1001,532,,,10111,120320,
