denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,3,0,3,2,5,0,0,0,0,,,5,52,
Basilicata,0,0,0,0,0,0,0,0,0,,,0,39,
Calabria,0,0,0,1,1,0,0,0,0,,,1,39,
Campania,4,0,4,13,17,0,0,0,0,,,17,373,
Emilia-Romagna,148,16,164,160,324,47,50,0,11,,,335,1973,
Friuli Venezia Giulia,0,0,0,9,9,3,3,0,0,,,9,269,
Lazio,3,0,3,1,4,1,1,3,0,,,7,773,
Liguria,12,1,13,5,18,-3,-3,4,0,,,22,121,
Lombardia,478,127,605,472,1077,190,270,139,38,,,1254,7925,
Marche,17,6,23,11,34,9,10,0,1,,,35,137,
Molise,0,0,0,0,0,0,0,0,0,,,0,13,
P.A. Bolzano,1,0,1,0,1,0,0,0,0,,,1,20,
P.A. Trento,0,0,0,0,0,0,0,0,0,,,0,122,
Piemonte,12,2,14,37,51,2,2,0,0,,,51,434,
Puglia,2,0,2,2,4,1,1,0,0,,,4,278,
Sardegna,0,0,0,0,0,0,0,0,0,,,0,29,
Sicilia,2,0,2,3,5,-2,-2,2,0,,,7,307,
Toscana,7,0,7,5,12,0,0,1,0,,,13,613,
Umbria,0,0,0,2,2,0,0,0,0,,,2,35,
Valle d'Aosta,0,0,0,0,0,0,0,0,0,,,0,11,
Veneto,53,14,67,204,271,10,10,0,2,,,273,9782,
