denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,35,2,37,469,506,-17,5,2943,472,3427,494,3921,169023,109697
Basilicata,4,1,5,133,138,13,14,421,28,412,175,587,61310,60500
Calabria,27,2,29,333,362,6,19,1207,98,1159,508,1667,169216,167110
Campania,226,10,236,3358,3594,179,203,4537,449,7416,1164,8580,474285,283355
Emilia-Romagna,140,16,156,3398,3554,22,110,24942,4467,29855,3108,32963,990713,578121
Friuli Venezia Giulia,17,3,20,491,511,38,54,3140,349,3797,203,4000,349995,161026
Lazio,358,9,367,3903,4270,146,175,7363,881,6943,5571,12514,678461,563118
Liguria,87,11,98,809,907,47,51,8980,1579,8814,2652,11466,256544,138436
Lombardia,252,27,279,8045,8324,103,218,77088,16891,92681,9622,102303,1758279,1087646
Marche,14,2,16,394,410,13,19,6005,988,7403,0,7403,217465,129006
Molise,4,0,4,88,92,4,4,437,23,517,35,552,35986,34699
P.A. Bolzano,8,0,8,215,223,5,10,2502,292,3017,0,3017,146198,77178
P.A. Trento,7,0,7,313,320,3,7,4634,405,3543,1816,5359,197645,86802
Piemonte,100,9,109,1755,1864,95,112,27431,4152,24122,9325,33447,623285,383250
Puglia,172,6,178,1236,1414,93,97,4158,567,2116,4023,6139,335530,239744
Sardegna,51,12,63,1170,1233,40,47,1291,138,1644,1018,2662,150678,128433
Sicilia,105,15,120,1407,1527,73,77,3110,289,3416,1510,4926,385131,290674
Toscana,69,11,80,2061,2141,62,88,9358,1147,10939,1707,12646,601979,404903
Umbria,17,2,19,354,373,2,33,1514,81,1545,423,1968,170159,103775
Valle d'Aosta,2,0,2,32,34,-5,0,1074,146,1123,131,1254,25970,18254
Veneto,83,12,95,2842,2937,23,91,19137,2135,20140,4069,24209,1662351,653982
