denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,280,64,344,516,860,122,133,23,63,,,946,5488,
Basilicata,22,16,38,95,133,21,21,0,1,,,134,1046,
Calabria,101,23,124,248,372,39,42,7,14,,,393,5933,
Campania,448,114,562,607,1169,97,111,58,83,,,1310,8346,
Emilia-Romagna,3354,301,3655,5195,8850,594,762,792,1174,,,10816,42395,
Friuli Venezia Giulia,212,54,266,688,954,43,84,197,72,,,1223,10721,
Lazio,878,113,991,844,1835,160,195,155,106,,,2096,22771,
Liguria,998,154,1152,875,2027,201,262,260,280,,,2567,7304,
Lombardia,10681,1263,11944,10245,22189,1598,2543,7839,4861,,,34889,87713,
Marche,977,166,1143,1652,2795,156,180,9,310,,,3114,8623,
Molise,27,8,35,46,81,28,30,14,8,,,103,670,
P.A. Bolzano,223,43,266,525,791,43,48,67,48,,,906,7744,
P.A. Trento,300,66,366,728,1094,36,75,117,86,,,1297,4600,
Piemonte,2633,408,3041,2909,5950,394,510,135,449,,,6534,18054,
Puglia,480,76,556,539,1095,72,89,22,65,,,1182,9191,
Sardegna,92,20,112,350,462,50,52,13,19,,,494,3461,
Sicilia,346,68,414,681,1095,159,170,36,33,,,1164,9658,
Toscana,1037,259,1296,1677,2973,197,254,95,158,,,3226,20952,
Umbria,144,46,190,580,770,84,92,12,20,,,802,5428,
Valle d'Aosta,73,24,97,281,378,3,7,2,28,,,408,1203,
Veneto,1447,326,1773,4367,6140,395,493,508,287,,,6935,79759,
