denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,195,7,202,1221,1423,-31,30,1372,383,,,3178,55672,38681
Basilicata,29,1,30,83,113,-7,1,250,27,,,390,21496,20966
Calabria,56,2,58,416,474,-31,7,582,95,,,1151,54091,52257
Campania,351,16,367,1343,1710,-26,14,2562,396,,,4668,136261,61574
Emilia-Romagna,740,112,852,5000,5852,-149,72,17370,3960,,,27182,258274,163067
Friuli Venezia Giulia,79,3,82,598,680,-61,8,2184,319,,,3183,101694,63251
Lazio,1156,76,1232,2790,4022,-66,32,2758,616,,,7396,201938,161405
Liguria,369,26,395,2138,2533,-70,51,5232,1346,,,9111,78068,46304
Lombardia,4521,268,4789,22890,27679,-67,399,41389,15450,,,84518,564550,333243
Marche,154,17,171,2486,2657,-138,23,3003,982,,,6642,87211,54804
Molise,8,2,10,205,215,-12,3,173,22,,,410,10859,10666
P.A. Bolzano,48,5,53,290,343,-16,0,1945,290,,,2578,53703,24316
P.A. Trento,44,8,52,293,345,-61,8,3528,453,,,4326,65383,39613
Piemonte,1562,100,1662,9040,10702,-411,137,15187,3594,,,29483,245075,165849
Puglia,272,22,294,1810,2104,-77,8,1807,463,,,4374,89611,61942
Sardegna,75,10,85,330,415,-46,4,812,125,,,1352,41257,35933
Sicilia,159,12,171,1488,1659,-101,8,1458,265,,,3382,114963,103103
Toscana,234,66,300,2643,2943,-225,30,5991,979,,,9913,200703,145946
Umbria,25,2,27,54,81,-9,0,1268,73,,,1422,55170,38663
Valle d'Aosta,33,0,33,42,75,-2,1,956,142,,,1173,11835,9181
Veneto,290,20,310,3852,4162,-277,39,12983,1783,,,18928,497045,269003
