denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,58,6,64,874,938,29,49,3079,481,3845,653,4498,203892,130591
Basilicata,11,2,13,332,345,7,16,482,30,425,432,857,74908,74088
Calabria,34,1,35,503,538,1,18,1382,100,1159,861,2020,205388,203282
Campania,439,39,478,6267,6745,349,392,6315,464,11882,1642,13524,612784,397526
Emilia-Romagna,201,11,212,4465,4677,23,163,26416,4484,31139,4438,35577,1197910,676766
Friuli Venezia Giulia,18,2,20,773,793,34,66,3643,353,4412,377,4789,418775,185748
Lazio,678,49,727,6820,7547,204,264,8529,928,8258,8746,17004,901372,749852
Liguria,161,23,184,1645,1829,58,140,10149,1608,9687,3899,13586,317583,169760
Lombardia,302,39,341,8825,9166,-1,307,81228,16964,95507,11851,107358,2153477,1343544
Marche,25,4,29,815,844,31,42,6191,990,8025,0,8025,250543,147169
Molise,5,0,5,126,131,-3,4,505,24,620,40,660,43913,42437
P.A. Bolzano,28,0,28,559,587,5,21,2710,292,3589,0,3589,179991,93443
P.A. Trento,16,0,16,571,587,-7,39,5086,406,3756,2323,6079,233688,100451
Piemonte,217,13,230,2830,3060,153,219,28505,4166,23594,12137,35731,732595,438901
Puglia,223,13,236,2427,2663,56,72,4712,597,2392,5580,7972,417465,296760
Sardegna,106,21,127,2027,2154,18,60,1747,155,2003,2053,4056,194581,164505
Sicilia,303,21,324,2724,3048,112,140,4052,314,4821,2593,7414,496034,362142
Toscana,103,24,127,3504,3631,163,223,10398,1165,11987,3207,15194,757609,508398
Umbria,39,4,43,567,610,48,62,1867,85,1686,876,2562,209180,125136
Valle d'Aosta,8,0,8,69,77,8,11,1103,146,1190,136,1326,29534,20378
Veneto,167,22,189,3838,4027,62,191,21871,2189,21400,6687,28087,1941237,757440
