denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,32,1,33,438,471,17,25,2910,472,3391,462,3853,162483,105546
Basilicata,3,1,4,104,108,3,7,412,28,410,138,548,58690,57880
Calabria,19,1,20,293,313,19,19,1167,97,1159,418,1577,162488,160382
Campania,196,5,201,2530,2731,151,171,4471,447,6747,902,7649,442610,257337
Emilia-Romagna,114,13,127,3062,3189,4,126,24719,4463,29578,2793,32371,942445,551727
Friuli Venezia Giulia,11,4,15,397,412,10,23,3093,349,3689,165,3854,338607,156816
Lazio,363,9,372,3316,3688,144,171,7204,879,6805,4966,11771,628169,517073
Liguria,48,6,54,619,673,46,47,8841,1572,8699,2387,11086,246584,132733
Lombardia,244,26,270,7399,7669,224,337,76574,16876,92117,9002,101119,1671516,1028404
Marche,12,1,13,328,341,6,17,5982,988,7311,0,7311,211130,125411
Molise,3,0,3,75,78,3,4,433,23,503,31,534,34595,33340
P.A. Bolzano,8,2,10,199,209,3,11,2472,292,2973,0,2973,141647,74949
P.A. Trento,7,0,7,223,230,20,23,4611,405,3490,1756,5246,192333,84881
Piemonte,110,7,117,1531,1648,62,82,27349,4149,24291,8855,33146,605811,372210
Puglia,150,7,157,929,1086,100,117,4095,560,2050,3691,5741,320159,226927
Sardegna,41,6,47,963,1010,64,66,1276,135,1601,820,2421,143293,121848
Sicilia,87,11,98,1186,1284,32,78,2993,288,3263,1302,4565,365207,277515
Toscana,67,8,75,1742,1817,86,99,9219,1143,10796,1383,12179,567766,377468
Umbria,11,3,14,313,327,25,35,1467,80,1529,345,1874,162240,99741
Valle d'Aosta,2,0,2,33,35,-1,2,1068,146,1119,130,1249,25417,17904
Veneto,79,10,89,2691,2780,166,273,18671,2126,20066,3511,23577,1611553,634616
