denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,351,54,405,1373,1778,36,53,211,224,,,2213,20667,
Basilicata,64,12,76,194,270,-7,4,31,18,,,319,4545,
Calabria,160,12,172,619,791,-4,5,70,67,,,928,18596,
Campania,606,80,686,2376,3062,5,66,360,248,,,3670,36770,
Emilia-Romagna,3490,331,3821,9997,13818,146,342,4007,2615,,,20440,99047,
Friuli Venezia Giulia,159,30,189,1118,1307,-19,51,973,202,,,2482,30941,
Lazio,1314,200,1514,2406,3920,103,123,764,284,,,4968,72746,
Liguria,1088,138,1226,2139,3365,32,102,1471,760,,,5596,23129,
Lombardia,12028,1143,13171,18764,31935,670,1262,17478,10901,,,60314,211092,
Marche,959,108,1067,2013,3080,-34,78,1588,713,,,5381,28379,
Molise,28,4,32,170,202,0,0,40,15,,,257,2522,
P.A. Bolzano,190,41,231,1306,1537,22,51,400,212,,,2149,24157,
P.A. Trento,326,56,382,1698,2080,-2,73,746,300,,,3126,18586,
Piemonte,3344,379,3723,9042,12765,260,474,2543,1826,,,17134,69170,
Puglia,600,71,671,1841,2512,60,76,286,267,,,3065,31922,
Sardegna,107,27,134,780,914,11,15,139,75,,,1128,11010,
Sicilia,554,51,605,1445,2050,20,42,237,171,,,2458,37311,
Toscana,992,225,1217,5040,6257,95,155,615,518,,,7390,80889,
Umbria,127,38,165,460,625,-62,1,643,52,,,1320,18740,
Valle d'Aosta,109,15,124,458,582,-6,6,230,115,,,927,3614,
Veneto,1427,245,1672,9094,10766,37,174,2603,882,,,14251,203077,
