denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,33,0,33,164,197,-85,0,2626,464,3100,187,3287,105653,70443
Basilicata,1,0,1,2,3,0,0,372,27,401,1,402,39631,38851
Calabria,4,0,4,23,27,1,1,1057,97,1159,22,1181,95094,93060
Campania,29,0,29,152,181,19,24,4077,432,4677,13,4690,282523,138482
Emilia-Romagna,108,12,120,890,1010,-22,20,23222,4260,27965,527,28492,495544,296112
Friuli Venezia Giulia,9,0,9,36,45,9,0,2918,345,3307,1,3308,189955,106632
Lazio,189,13,202,634,836,-4,5,6437,837,5990,2120,8110,338035,276640
Liguria,46,3,49,231,280,3,3,8139,1558,9012,965,9977,147156,78710
Lombardia,297,42,339,9721,10060,-763,62,67197,16644,88687,5214,93901,1036548,619851
Marche,8,0,8,258,266,-8,0,5528,991,6785,0,6785,137340,82950
Molise,0,0,0,25,25,-1,0,397,23,444,1,445,22660,21585
P.A. Bolzano,3,1,4,80,84,-1,0,2263,292,2639,0,2639,84172,40961
P.A. Trento,1,0,1,49,50,-3,0,4408,405,3378,1485,4863,121315,62918
Piemonte,267,12,279,1144,1423,-67,11,25836,4090,27273,4076,31349,415257,259420
Puglia,25,0,25,104,129,-16,0,3857,545,2173,2358,4531,178251,118741
Sardegna,6,0,6,8,14,0,2,1219,133,1360,6,1366,83439,70030
Sicilia,19,3,22,106,128,1,2,2670,282,2749,331,3080,209071,171130
Toscana,17,6,23,306,329,2,2,8817,1104,10032,218,10250,337110,229809
Umbria,3,1,4,6,10,1,1,1351,80,1428,13,1441,95627,65217
Valle d'Aosta,4,0,4,0,4,1,1,1045,146,1083,112,1195,18263,13805
Veneto,21,0,21,441,462,0,8,16812,2012,19259,27,19286,957466,408628
