denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,51,14,65,41,106,23,23,4,2,,,112,1232,
Basilicata,0,2,2,8,10,0,0,0,0,,,10,155,
Calabria,22,4,26,33,59,22,22,1,0,,,60,711,
Campania,72,17,89,154,243,30,52,23,6,,,272,1936,
Emilia-Romagna,1076,152,1228,1121,2349,338,381,54,241,,,2644,10043,
Friuli Venezia Giulia,67,11,78,193,271,35,44,17,13,,,301,3376,
Lazio,181,25,206,114,320,78,80,24,13,,,357,7335,
Liguria,213,62,275,109,384,80,118,52,27,,,463,1750,
Lombardia,4898,732,5630,3429,9059,1327,1865,1660,966,,,11685,37138,
Marche,449,93,542,321,863,165,174,0,36,,,899,2561,
Molise,5,3,8,9,17,0,0,0,0,,,17,247,
P.A. Bolzano,26,7,33,137,170,47,48,0,3,,,173,1135,
P.A. Trento,68,12,80,119,199,42,43,5,2,,,206,1006,
Piemonte,538,150,688,126,814,20,33,0,59,,,873,3680,
Puglia,91,6,97,59,156,35,37,2,8,,,166,1681,
Sardegna,14,0,14,33,47,4,4,0,0,,,47,530,
Sicilia,42,11,53,97,150,24,26,4,2,,,156,2100,
Toscana,160,87,247,367,614,159,160,10,6,,,630,4595,
Umbria,21,11,32,71,103,30,31,3,1,,,107,748,
Valle d'Aosta,12,0,12,29,41,14,14,0,1,,,42,231,
Veneto,366,119,485,1290,1775,322,342,107,55,,,1937,26980,
