denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,301,15,316,1521,1837,-31,4,831,332,,,3000,41108,30047
Basilicata,50,3,53,120,173,-21,0,188,25,,,386,14901,14455
Calabria,93,4,97,577,674,-28,4,356,88,,,1118,39438,37390
Campania,438,24,462,2249,2711,-15,14,1421,366,,,4498,90543,48275
Emilia-Romagna,1968,199,2167,6817,8984,-61,159,13525,3666,,,26175,200427,133329
Friuli Venezia Giulia,130,4,134,916,1050,-37,4,1727,299,,,3076,75421,48250
Lazio,1335,95,1430,2955,4385,0,38,1938,524,,,6847,153293,120095
Liguria,606,72,678,2830,3508,-43,53,3683,1221,,,8412,56092,35443
Lombardia,6414,532,6946,30361,37307,381,577,26504,14294,,,78105,418835,251661
Marche,389,44,433,2773,3206,8,44,2225,932,,,6363,65398,42838
Molise,9,1,10,168,178,-3,0,101,22,,,301,7328,7057
P.A. Bolzano,103,10,113,523,636,-29,5,1621,284,,,2541,44673,20333
P.A. Trento,135,17,152,1013,1165,-82,11,2663,430,,,4258,42061,24500
Piemonte,2391,161,2552,13010,15562,-76,192,8874,3186,,,27622,176078,123801
Puglia,397,39,436,2509,2945,-10,9,779,429,,,4153,67167,65789
Sardegna,91,9,100,553,653,-36,-2,545,119,,,1317,28052,24926
Sicilia,376,27,403,1799,2202,-1,15,809,244,,,3255,87166,79336
Toscana,512,107,619,4660,5279,-49,38,3441,881,,,9601,152447,115065
Umbria,56,13,69,112,181,-2,0,1143,70,,,1394,39044,27152
Valle d'Aosta,74,2,76,34,110,1,1,894,139,,,1143,8271,6200
Veneto,955,101,1056,6178,7234,-65,55,9611,1528,,,18373,383660,223968
