denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,245,18,263,3822,4085,343,368,3469,514,6422,1646,8068,266853,166730
Basilicata,53,5,58,955,1013,68,77,639,44,479,1217,1696,96422,95573
Calabria,106,10,116,1897,2013,164,179,1671,106,1162,2628,3790,257594,255683
Campania,1151,113,1264,27456,28720,2417,2590,9322,571,36250,2363,38613,860203,587003
Emilia-Romagna,757,88,845,13983,14828,1186,1192,27345,4561,36934,9800,46734,1476451,804679
Friuli Venezia Giulia,112,23,135,2892,3027,251,334,4760,374,7375,786,8161,508057,219485
Lazio,1476,146,1622,21193,22815,1410,1541,10323,1100,13165,21073,34238,1294172,1057293
Liguria,696,41,737,5299,6036,276,657,15324,1691,16455,6596,23051,409770,214109
Lombardia,2326,231,2557,45426,47983,5298,5762,89145,17235,127457,26906,154363,2715715,1698094
Marche,178,23,201,3525,3726,427,521,6711,1003,11440,0,11440,303279,177287
Molise,20,2,22,528,550,25,26,640,28,1169,49,1218,59395,55751
P.A. Bolzano,147,11,158,3029,3187,331,339,2951,296,6434,0,6434,218797,113387
P.A. Trento,72,4,76,1256,1332,76,104,6035,425,4414,3378,7792,275017,111246
Piemonte,1601,94,1695,18182,19877,2034,2287,31399,4259,28556,26979,55535,944133,566796
Puglia,548,57,605,7267,7872,474,515,6011,663,4146,10400,14546,522951,370561
Sardegna,299,34,333,4421,4754,168,195,2814,191,3038,4721,7759,248525,211113
Sicilia,642,95,737,9818,10555,666,695,5914,428,10855,6042,16897,642351,456572
Toscana,714,111,825,16495,17320,1632,1863,12708,1262,24763,6527,31290,1000835,671386
Umbria,215,29,244,4151,4395,374,463,2795,105,2575,4720,7295,277303,162084
Valle d'Aosta,63,2,65,1116,1181,88,97,1191,153,2265,260,2525,37826,24256
Veneto,585,71,656,16316,16972,1351,1468,25036,2329,24005,20332,44337,2238353,871568
