denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,42,4,46,545,591,14,18,2970,473,3520,514,4034,176979,114687
Basilicata,6,1,7,154,161,5,5,429,28,414,204,618,64330,63520
Calabria,31,2,33,341,374,-1,4,1250,98,1159,563,1722,176884,174778
Campania,295,18,313,3767,4080,76,136,4819,452,8041,1310,9351,505463,310227
Emilia-Romagna,168,17,185,3917,4102,38,125,25184,4470,30239,3517,33756,1040666,603369
Friuli Venezia Giulia,24,2,26,583,609,17,20,3223,349,3924,257,4181,363690,166049
Lazio,453,18,471,4526,4997,101,139,7559,887,7165,6278,13443,736978,614394
Liguria,128,12,140,1111,1251,51,141,9225,1582,9060,2998,12058,269875,145476
Lombardia,263,29,292,8507,8799,-49,176,77938,16903,93359,10281,103640,1850323,1148425
Marche,17,2,19,517,536,8,14,6050,989,7575,0,7575,225931,133279
Molise,5,1,6,91,97,1,1,450,23,532,38,570,37944,36565
P.A. Bolzano,15,1,16,304,320,17,21,2544,292,3156,0,3156,152676,80736
P.A. Trento,9,0,9,465,474,15,20,4662,405,3613,1928,5541,205225,89798
Piemonte,112,8,120,2037,2157,28,39,27543,4153,23962,9891,33853,644624,394783
Puglia,204,13,217,1559,1776,63,76,4237,573,2160,4426,6586,356216,255154
Sardegna,86,18,104,1353,1457,17,36,1367,140,1721,1243,2964,161018,136896
Sicilia,141,17,158,1761,1919,77,77,3172,292,3640,1743,5383,407163,304795
Toscana,93,17,110,2417,2527,27,41,9536,1151,11151,2063,13214,638071,429310
Umbria,23,6,29,430,459,16,22,1560,81,1581,519,2100,179299,108521
Valle d'Aosta,5,0,5,37,42,3,3,1078,146,1135,131,1266,26698,18657
Veneto,102,15,117,2867,2984,1,115,19849,2146,20368,4611,24979,1723891,677256
