denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,0,0,0,0,0,0,0,0,0,,,0,5,
Basilicata,0,0,0,0,0,0,0,0,0,,,0,0,
Calabria,0,0,0,0,0,0,0,0,0,,,0,2,
Campania,0,0,0,0,0,0,0,0,0,,,0,10,
Emilia-Romagna,15,2,17,9,26,8,8,0,0,,,26,391,
Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,,,0,89,
Lazio,1,1,2,0,2,0,0,1,0,,,3,124,
Liguria,1,0,1,0,1,1,1,0,0,,,1,39,
Lombardia,79,25,104,127,231,65,68,0,9,,,240,3700,
Marche,0,0,0,0,0,0,0,0,0,,,0,21,
Molise,0,0,0,0,0,0,0,0,0,,,0,0,
P.A. Bolzano,1,0,1,0,1,1,1,0,0,,,1,1,
P.A. Trento,0,0,0,0,0,0,0,0,0,,,0,3,
Piemonte,2,0,2,1,3,0,0,0,0,,,3,141,
Puglia,0,0,0,0,0,0,0,0,0,,,0,0,
Sardegna,0,0,0,0,0,0,0,0,0,,,0,1,
Sicilia,1,0,1,2,3,3,3,0,0,,,3,5,
Toscana,2,0,2,0,2,2,2,0,0,,,2,296,
Umbria,0,0,0,0,0,0,0,0,0,,,0,8,
Valle d'Aosta,0,0,0,0,0,0,0,0,0,,,0,7,
Veneto,12,7,19,23,42,10,10,0,1,,,43,3780,
