denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,205,6,211,1243,1454,-28,12,1313,381,,,3148,54028,37587
Basilicata,33,1,34,86,120,-7,0,242,27,,,389,20851,20359
Calabria,56,2,58,447,505,-19,1,544,95,,,1144,52701,50847
Campania,341,17,358,1378,1736,-29,15,2522,396,,,4654,131544,59162
Emilia-Romagna,763,114,877,5124,6001,-300,54,17166,3943,,,27110,253497,160622
Friuli Venezia Giulia,80,3,83,658,741,-29,14,2116,318,,,3175,100400,62319
Lazio,1173,79,1252,2836,4088,-8,73,2672,604,,,7364,197599,157880
Liguria,385,31,416,2187,2603,-57,65,5121,1336,,,9060,76012,45307
Lombardia,4705,276,4981,22765,27746,-2210,299,40962,15411,,,84119,550405,325071
Marche,178,18,196,2599,2795,-109,16,2847,977,,,6619,84351,53813
Molise,8,2,10,217,227,-2,4,158,22,,,407,10468,10281
P.A. Bolzano,50,5,55,304,359,-21,0,1929,290,,,2578,52939,23969
P.A. Trento,53,9,62,344,406,-99,3,3461,451,,,4318,63700,38273
Piemonte,1593,108,1701,9412,11113,-778,137,14676,3557,,,29346,239507,161854
Puglia,285,23,308,1873,2181,-72,9,1724,461,,,4366,87687,60613
Sardegna,75,10,85,376,461,-4,3,762,125,,,1348,39844,34864
Sicilia,198,11,209,1551,1760,-94,8,1351,263,,,3374,112929,101487
Toscana,238,67,305,2863,3168,-220,24,5739,976,,,9883,197365,144237
Umbria,25,2,27,63,90,-2,2,1259,73,,,1422,53801,37660
Valle d'Aosta,37,0,37,40,77,-3,6,953,142,,,1172,11413,8814
Veneto,311,24,335,4104,4439,-279,44,12688,1762,,,18889,484639,264091
