denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,112,3,115,621,736,-7,3,2102,414,,,3252,78356,53555
Basilicata,4,0,4,19,23,-1,0,349,27,,,399,30708,29938
Calabria,20,0,20,90,110,-2,0,951,97,,,1158,72237,69978
Campania,206,4,210,659,869,-21,12,3537,415,,,4821,208854,101664
Emilia-Romagna,342,50,392,2447,2839,-73,14,20856,4147,,,27842,336630,202506
Friuli Venezia Giulia,39,2,41,192,233,-11,0,2707,336,,,3276,138250,81683
Lazio,519,51,570,2248,2818,-29,10,4188,747,,,7753,262461,211669
Liguria,169,6,175,339,514,-32,17,7764,1473,,,9751,110006,61006
Lombardia,2995,131,3126,17098,20224,-31,237,53046,16172,,,89442,777477,458782
Marche,57,8,65,1245,1310,-16,1,4438,987,,,6735,105679,66805
Molise,1,2,3,124,127,-6,0,287,22,,,436,15123,14439
P.A. Bolzano,13,3,16,104,120,0,0,2187,291,,,2598,67965,31800
P.A. Trento,15,2,17,205,222,-61,1,3748,463,,,4433,91021,49626
Piemonte,841,44,885,3801,4686,-142,19,22150,3898,,,30734,327206,212012
Puglia,131,10,141,895,1036,-15,1,2952,511,,,4499,122506,82041
Sardegna,12,1,13,133,146,-9,0,1080,131,,,1357,58605,50057
Sicilia,60,7,67,813,880,-86,0,2292,275,,,3447,154873,131820
Toscana,76,25,101,872,973,-38,4,8093,1055,,,10121,259167,183229
Umbria,15,2,17,14,31,0,0,1324,76,,,1431,72001,51310
Valle d'Aosta,9,0,9,4,13,0,0,1031,143,,,1187,15413,12084
Veneto,106,2,108,1279,1387,-16,2,15856,1921,,,19164,695053,341333
