denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,72,28,100,28,128,22,25,6,3,,,137,1419,
Basilicata,0,2,2,9,11,1,1,0,0,,,11,208,
Calabria,32,6,38,28,66,7,8,1,1,,,68,884,
Campania,73,22,95,201,296,53,61,28,9,,,333,2213,
Emilia-Romagna,1215,169,1384,1357,2741,392,449,68,284,,,3093,12054,
Friuli Venezia Giulia,98,12,110,206,316,45,46,17,14,,,347,3407,
Lazio,223,31,254,142,396,76,79,24,16,,,436,8345,
Liguria,253,66,319,174,493,109,96,33,33,,,559,1973,
Lombardia,5500,767,6267,3776,10043,984,1587,2011,1218,,,13272,40369,
Marche,521,98,619,468,1087,224,234,0,46,,,1133,2946,
Molise,3,4,7,10,17,0,0,0,0,,,17,248,
P.A. Bolzano,50,4,54,145,199,29,31,0,5,,,204,1497,
P.A. Trento,73,19,92,275,367,168,172,5,6,,,378,1006,
Piemonte,726,171,897,133,1030,216,238,0,81,,,1111,4375,
Puglia,116,6,122,90,212,56,64,2,16,,,230,2017,
Sardegna,16,0,16,59,75,28,30,0,2,,,77,613,
Sicilia,56,15,71,108,179,29,32,7,2,,,188,2452,
Toscana,175,107,282,481,763,149,151,10,8,,,781,5132,
Umbria,25,13,38,101,139,36,36,3,1,,,143,965,
Valle d'Aosta,10,3,13,43,56,15,15,0,1,,,57,230,
Veneto,426,129,555,1434,1989,214,235,120,63,,,2172,32546,
