denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,250,10,260,1453,1713,-57,6,1014,351,,,3078,46103,32619
Basilicata,48,2,50,102,152,-3,-1,204,26,,,382,16777,16285
Calabria,73,2,75,544,619,-14,1,417,90,,,1126,43980,41902
Campania,418,28,446,1566,2012,-127,21,2164,386,,,4562,105399,51402
Emilia-Romagna,1680,163,1843,5887,7730,-281,111,15071,3797,,,26598,221866,144009
Friuli Venezia Giulia,105,2,107,804,911,-16,9,1897,308,,,3116,82902,52784
Lazio,1278,84,1362,2966,4328,-20,52,2209,549,,,7086,169499,133674
Liguria,517,46,563,2613,3176,-72,78,4282,1265,,,8723,63531,39145
Lombardia,5702,400,6102,25881,31983,-32,634,33901,14839,,,80723,466287,277106
Marche,303,38,341,2897,3238,-9,18,2278,954,,,6470,72504,47092
Molise,6,0,6,178,184,14,22,121,22,,,327,8502,8177
P.A. Bolzano,78,9,87,415,502,-49,6,1767,289,,,2558,47908,21572
P.A. Trento,94,11,105,767,872,-38,2,2975,438,,,4285,48220,29188
Piemonte,2013,140,2153,11954,14107,-362,233,10956,3305,,,28368,201183,138830
Puglia,349,33,382,2351,2733,-67,11,1080,443,,,4256,74724,53194
Sardegna,90,10,100,453,553,-30,6,658,119,,,1330,32219,28519
Sicilia,310,19,329,1798,2127,0,13,921,253,,,3301,98711,88497
Toscana,399,84,483,4109,4592,-124,38,4199,930,,,9721,170296,126752
Umbria,47,6,53,66,119,-22,1,1216,71,,,1406,44223,30704
Valle d'Aosta,45,2,47,76,123,-7,1,889,139,,,1151,9280,6999
Veneto,831,79,910,5277,6187,-347,65,10804,1627,,,18618,420949,240535
