denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,30,2,32,326,358,-13,1,2466,461,3112,173,3285,102606,68584
Basilicata,1,0,1,6,7,0,0,367,27,401,0,401,38690,37910
Calabria,9,0,9,21,30,2,3,1051,97,1175,3,1178,92448,90414
Campania,41,1,42,122,164,0,3,4070,431,4664,1,4665,272874,131984
Emilia-Romagna,109,12,121,923,1044,-24,46,23097,4252,27944,449,28393,478941,285701
Friuli Venezia Giulia,13,0,13,35,48,-5,2,2914,345,3306,1,3307,183824,104501
Lazio,185,13,198,618,816,-46,13,6412,836,5971,2093,8064,329074,269189
Liguria,54,3,57,207,264,5,4,8138,1556,9014,944,9958,142669,76437
Lombardia,501,47,548,11092,11640,-352,156,65323,16624,88720,4867,93587,1004753,600985
Marche,10,0,10,397,407,-53,2,5385,991,6781,2,6783,133947,80847
Molise,1,0,1,28,29,-7,1,393,23,444,1,445,22008,20958
P.A. Bolzano,3,1,4,81,85,-2,0,2257,292,2634,0,2634,82441,39893
P.A. Trento,1,0,1,51,52,0,4,4402,405,3375,1484,4859,117401,60783
Piemonte,307,14,321,1264,1585,-96,15,25649,4077,27693,3618,31311,406121,253971
Puglia,27,0,27,126,153,-20,1,3835,543,2308,2223,4531,171968,113789
Sardegna,5,0,5,7,12,-2,0,1218,132,1360,2,1362,80546,67848
Sicilia,18,4,22,107,129,-1,0,2666,281,2748,328,3076,201836,165403
Toscana,21,6,27,287,314,-10,2,8809,1103,10027,199,10226,326645,223804
Umbria,2,1,3,7,10,0,1,1351,79,1428,12,1440,92704,63545
Valle d'Aosta,2,0,2,2,4,-1,0,1044,146,1083,111,1194,17941,13610
Veneto,16,1,17,470,487,-40,5,16768,2007,19252,10,19262,916485,398960
