denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,13,1,14,97,111,5,5,2799,472,3138,244,3382,128483,84411
Basilicata,2,0,2,48,50,3,3,374,28,402,50,452,47200,46410
Calabria,3,1,4,93,97,4,4,1072,97,1159,107,1266,120668,118634
Campania,48,6,54,341,395,-4,9,4169,435,4923,76,4999,332836,170810
Emilia-Romagna,59,4,63,1433,1496,25,36,23885,4289,28354,1316,29670,655330,395936
Friuli Venezia Giulia,9,2,11,111,122,0,3,2927,345,3377,17,3394,251621,125634
Lazio,183,9,192,753,945,8,18,6839,863,6197,2450,8647,416921,343670
Liguria,19,0,19,181,200,4,4,8447,1567,8468,1746,10214,189022,100861
Lombardia,148,7,155,5856,6011,-24,77,73402,16806,89624,6595,96219,1300088,782147
Marche,6,0,6,141,147,17,21,5750,987,6884,0,6884,167216,100200
Molise,1,0,1,26,27,1,1,421,23,469,2,471,27679,26528
P.A. Bolzano,6,1,7,95,102,10,15,2323,292,2717,0,2717,105217,54206
P.A. Trento,0,0,0,100,100,-1,2,4470,405,3394,1581,4975,153167,72464
Piemonte,103,5,108,691,799,9,21,26739,4129,25281,6386,31667,499126,305619
Puglia,18,0,18,77,95,1,2,3964,552,1991,2620,4611,240004,165237
Sardegna,3,0,3,30,33,10,10,1237,134,1365,39,1404,106345,90445
Sicilia,38,2,40,235,275,16,16,2730,283,2809,479,3288,276773,217405
Toscana,17,0,17,370,387,-2,14,8962,1134,10250,233,10483,424574,281692
Umbria,6,0,6,12,18,1,1,1368,80,1445,21,1466,120896,78170
Valle d'Aosta,1,0,1,11,12,0,0,1050,146,1090,118,1208,21532,15574
Veneto,33,3,36,964,1000,109,117,17046,2074,19407,713,20120,1228415,485614
