denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,25,0,25,5,30,13,13,0,0,,,30,237,
Basilicata,2,0,2,3,5,1,1,0,0,,,5,135,
Calabria,8,0,8,1,9,0,2,2,0,,,11,173,
Campania,42,8,50,69,119,19,19,1,0,,,120,980,
Emilia-Romagna,576,90,666,620,1286,189,206,30,70,,,1386,4906,
Friuli Venezia Giulia,18,1,19,70,89,36,36,3,1,,,93,1344,
Lazio,55,8,63,31,94,13,15,3,5,,,102,1929,
Liguria,60,17,77,20,97,30,31,5,7,,,109,611,
Lombardia,2802,440,3242,1248,4490,1118,1280,646,333,,,5469,20135,
Marche,136,47,183,130,313,48,51,0,10,,,323,1250,
Molise,4,2,6,8,14,0,0,0,0,,,14,212,
P.A. Bolzano,8,0,8,1,9,0,0,0,0,,,9,36,
P.A. Trento,10,2,12,21,33,10,10,0,0,,,33,267,
Piemonte,222,50,272,65,337,-18,-10,0,13,,,350,1681,
Puglia,20,6,26,20,46,10,10,1,3,,,50,685,
Sardegna,8,0,8,11,19,8,8,0,0,,,19,185,
Sicilia,19,0,19,33,52,1,1,2,0,,,54,836,
Toscana,107,9,116,90,206,41,42,1,1,,,208,2018,
Umbria,4,2,6,22,28,2,2,0,0,,,28,183,
Valle d'Aosta,4,0,4,11,15,6,6,0,0,,,15,67,
Veneto,186,51,237,457,694,71,74,30,20,,,744,15956,
