denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,25,0,25,122,147,-1,2,2712,464,3113,210,3323,114219,75741
Basilicata,3,0,3,2,5,0,1,374,27,401,5,406,42254,41474
Calabria,4,0,4,25,29,2,2,1062,97,1159,29,1188,104475,102441
Campania,47,0,47,195,242,5,7,4095,432,4708,61,4769,301677,149873
Emilia-Romagna,93,10,103,1016,1119,6,47,23481,4269,28068,801,28869,544888,325438
Friuli Venezia Giulia,1,0,1,78,79,1,2,2911,345,3328,7,3335,211002,112962
Lazio,198,13,211,704,915,14,19,6535,844,6065,2229,8294,364876,299223
Liguria,26,0,26,227,253,-11,6,8219,1559,8478,1553,10031,161991,86422
Lombardia,173,29,202,8010,8212,-129,67,70020,16740,89131,5841,94972,1133387,679427
Marche,4,0,4,165,169,1,4,5647,987,6803,0,6803,148103,89561
Molise,0,0,0,12,12,-3,0,410,23,444,1,445,24446,23324
P.A. Bolzano,6,0,6,76,82,-4,3,2287,292,2661,0,2661,90420,44844
P.A. Trento,2,0,2,26,28,1,2,4448,405,3381,1500,4881,132803,66741
Piemonte,190,9,199,870,1069,-6,9,26314,4111,26178,5316,31494,447166,276895
Puglia,12,0,12,59,71,-1,1,3924,546,2076,2465,4541,199805,135169
Sardegna,3,0,3,6,9,-1,0,1229,134,1360,12,1372,92286,78149
Sicilia,6,0,6,117,123,-1,1,2693,283,2749,350,3099,233658,188817
Toscana,7,3,10,320,330,0,5,8869,1122,10100,221,10321,368488,247347
Umbria,4,0,4,4,8,0,0,1360,80,1433,15,1448,105383,70252
Valle d'Aosta,2,0,2,1,3,-2,0,1047,146,1079,117,1196,19409,14405
Veneto,20,3,23,375,398,4,10,16942,2039,19279,100,19379,1059816,437321
