denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,17,9,26,11,37,0,0,0,1,,,38,310,
Basilicata,1,1,2,6,8,1,1,0,0,,,8,155,
Calabria,10,2,12,5,17,6,6,2,0,,,19,405,
Campania,56,11,67,82,149,23,27,4,1,,,154,1375,
Emilia-Romagna,745,104,849,739,1588,171,206,38,113,,,1739,6640,
Friuli Venezia Giulia,16,5,21,89,110,0,10,10,6,,,126,2073,
Lazio,67,18,85,40,125,26,34,19,6,,,150,3591,
Liguria,74,34,108,73,181,53,53,5,8,,,194,1025,
Lombardia,3852,560,4412,1351,5763,1336,1489,900,617,,,7280,25629,
Marche,212,66,278,183,461,80,85,0,18,,,479,1656,
Molise,4,3,7,9,16,1,1,0,0,,,16,233,
P.A. Bolzano,8,4,12,63,75,37,37,0,0,,,75,75,
P.A. Trento,28,4,32,42,74,24,25,3,0,,,77,527,
Piemonte,319,75,394,86,480,44,48,0,21,,,501,2431,
Puglia,38,4,42,29,71,16,18,1,5,,,77,909,
Sardegna,10,0,10,27,37,17,17,0,0,,,37,283,
Sicilia,23,1,24,57,81,21,21,2,0,,,83,1194,
Toscana,87,54,141,173,314,54,56,5,1,,,320,2804,
Umbria,7,5,12,32,44,7,9,2,0,,,46,340,
Valle d'Aosta,2,0,2,17,19,2,3,0,1,,,20,99,
Veneto,262,68,330,610,940,157,167,54,29,,,1023,21400,
