denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,48,5,53,626,679,0,0,2984,474,3603,534,4137,182106,117719
Basilicata,6,1,7,159,166,1,6,443,28,420,217,637,66845,66035
Calabria,30,4,34,427,461,16,22,1273,98,1159,673,1832,185687,183581
Campania,344,22,366,4309,4675,102,171,5129,456,8758,1502,10260,540615,339764
Emilia-Romagna,169,19,188,4341,4529,91,115,25335,4476,30531,3809,34340,1085411,625160
Friuli Venezia Giulia,19,4,23,663,686,5,32,3341,350,4074,303,4377,380858,171811
Lazio,422,23,445,5244,5689,151,165,7765,890,7410,6934,14344,784389,655297
Liguria,136,15,151,1310,1461,28,85,9440,1591,9293,3199,12492,284175,152634
Lombardia,264,38,302,8705,9007,72,211,78829,16922,93998,10760,104758,1943336,1206551
Marche,21,2,23,619,642,21,31,6103,989,7734,0,7734,233406,137510
Molise,4,1,5,99,104,0,1,460,23,548,39,587,39541,38140
P.A. Bolzano,15,2,17,405,422,17,20,2587,292,3301,0,3301,161209,85316
P.A. Trento,13,0,13,544,557,23,45,4772,405,3673,2061,5734,215567,93131
Piemonte,142,7,149,2177,2326,22,98,27859,4154,23698,10641,34339,668312,407611
Puglia,199,11,210,1918,2128,40,50,4287,579,2234,4760,6994,375065,267208
Sardegna,96,18,114,1551,1665,70,72,1433,141,1776,1463,3239,170395,144511
Sicilia,194,13,207,2109,2316,84,116,3350,296,4002,1960,5962,432263,321168
Toscana,86,23,109,2847,2956,129,147,9704,1152,11394,2418,13812,676932,455978
Umbria,29,4,33,452,485,14,24,1648,83,1607,609,2216,187607,113041
Valle d'Aosta,4,0,4,47,51,3,3,1082,146,1149,130,1279,27591,19140
Veneto,124,10,134,2959,3093,48,173,20527,2162,20655,5127,25782,1791504,701455
