denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,306,57,363,1203,1566,32,72,171,194,,,1931,16847,
Basilicata,50,17,67,208,275,5,6,13,15,,,303,3474,
Calabria,168,15,183,582,765,10,15,48,61,,,874,15698,
Campania,604,94,698,2175,2873,14,76,244,227,,,3344,29664,
Emilia-Romagna,3722,355,4077,9181,13258,148,443,3103,2316,,,18677,81715,
Friuli Venezia Giulia,167,37,204,1186,1390,-25,81,738,171,,,2299,26205,
Lazio,1244,198,1442,2090,3532,84,163,644,253,,,4429,58107,
Liguria,1103,154,1257,1996,3253,8,114,1085,682,,,5020,18446,
Lombardia,11796,1236,13032,16042,29074,529,1388,15706,10022,,,54802,176953,
Marche,945,133,1078,2323,3401,-161,96,885,669,,,4955,18194,
Molise,30,4,34,155,189,8,8,32,13,,,234,2069,
P.A. Bolzano,263,64,327,988,1315,34,68,401,187,,,1903,19875,
P.A. Trento,345,69,414,1564,1978,38,106,462,268,,,2708,14338,
Piemonte,3514,412,3926,7410,11336,347,639,1732,1454,,,14522,52807,
Puglia,630,86,716,1585,2301,63,82,190,225,,,2716,26088,
Sardegna,106,25,131,745,876,36,51,86,64,,,1026,8918,
Sicilia,566,63,629,1313,1942,49,73,152,138,,,2232,28742,
Toscana,1038,256,1294,4409,5703,146,173,441,408,,,6552,65461,
Umbria,154,38,192,600,792,-31,9,455,51,,,1298,15170,
Valle d'Aosta,118,18,136,473,609,3,18,154,105,,,868,3142,
Veneto,1530,274,1804,8645,10449,278,523,1728,756,,,12933,171456,
