denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,319,43,362,1580,1942,92,97,255,246,,,2443,25436,
Basilicata,59,9,68,198,266,-7,1,49,22,,,337,5710,
Calabria,154,7,161,658,819,-28,-18,99,73,,,991,21657,
Campania,622,76,698,2329,3027,-91,64,631,293,,,3951,43697,
Emilia-Romagna,3330,309,3639,9946,13585,-78,348,5346,2903,,,21834,116826,
Friuli Venezia Giulia,148,23,171,1257,1428,98,59,1027,220,,,2675,40030,
Lazio,1332,187,1519,2695,4214,70,144,978,332,,,5524,84755,
Liguria,897,105,1002,2457,3459,22,149,1863,866,,,6188,28181,
Lombardia,10627,971,11598,21836,33434,344,1041,18850,11851,,,64135,243513,
Marche,839,94,933,2224,3157,33,86,1726,785,,,5668,37997,
Molise,26,4,30,178,208,5,6,45,16,,,269,3082,
P.A. Bolzano,181,32,213,1369,1582,-11,29,480,234,,,2296,27698,
P.A. Trento,286,44,330,1660,1990,-97,82,1044,342,,,3376,21921,
Piemonte,3266,333,3599,10399,13998,215,695,3634,2171,,,19803,86714,
Puglia,590,62,652,2004,2656,31,69,364,307,,,3327,38278,
Sardegna,113,23,136,736,872,7,14,220,86,,,1178,13304,
Sicilia,521,46,567,1572,2139,31,46,296,190,,,2625,45172,
Toscana,898,207,1105,5478,6583,-30,167,925,602,,,8110,96231,
Umbria,111,31,142,352,494,-42,8,786,57,,,1337,22818,
Valle d'Aosta,108,9,117,374,491,-27,22,379,123,,,993,4366,
Veneto,1359,197,1556,9062,10618,-182,384,3730,1026,,,15374,236722,
