denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,9,0,9,0,9,1,1,0,0,,,9,96,
Basilicata,1,0,1,2,3,2,2,0,0,,,3,63,
Calabria,2,0,2,2,4,2,2,0,0,,,4,99,
Campania,12,0,12,45,57,12,12,0,0,,,57,471,
Emilia-Romagna,397,53,450,366,816,158,172,17,37,,,870,3136,
Friuli Venezia Giulia,4,0,4,24,28,7,10,3,0,,,31,577,
Lazio,26,8,34,16,50,9,10,3,1,,,54,1373,
Liguria,12,5,17,7,24,3,4,5,3,,,32,229,
Lombardia,1622,309,1931,77,2008,231,361,469,135,,,2612,13556,
Marche,73,20,93,62,155,35,35,0,4,,,159,585,
Molise,3,2,5,7,12,5,5,0,0,,,12,104,
P.A. Bolzano,4,0,4,0,4,3,3,0,0,,,4,36,
P.A. Trento,4,0,4,6,10,3,3,0,0,,,10,122,
Piemonte,57,30,87,52,139,33,35,0,4,,,143,793,
Puglia,5,1,6,9,15,3,3,1,1,,,17,395,
Sardegna,2,0,2,3,5,3,3,0,0,,,5,99,
Sicilia,7,0,7,15,22,6,6,2,0,,,24,367,
Toscana,35,5,40,38,78,18,18,1,0,,,79,1097,
Umbria,2,2,4,12,16,7,7,0,0,,,16,110,
Valle d'Aosta,0,0,0,7,7,5,5,0,0,,,7,28,
Veneto,117,27,144,310,454,74,81,22,12,,,488,13023,
