denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,52,5,57,824,881,16,23,3057,481,3778,641,4419,199492,128012
Basilicata,11,2,13,294,307,31,32,472,29,425,383,808,73036,72216
Calabria,33,2,35,520,555,11,18,1330,100,1159,826,1985,201674,199568
Campania,414,39,453,5660,6113,148,287,6166,463,11123,1619,12742,595991,383899
Emilia-Romagna,205,14,219,4434,4653,-57,101,26174,4484,31010,4301,35311,1176438,667137
Friuli Venezia Giulia,19,6,25,693,718,-6,28,3597,351,4314,352,4666,409780,182145
Lazio,659,47,706,6442,7148,99,210,8409,918,8086,8389,16475,878047,732123
Liguria,143,22,165,1574,1739,21,51,9992,1604,9556,3779,13335,310367,166142
Lombardia,306,34,340,8720,9060,-39,201,80712,16955,95122,11605,106727,2108944,1315230
Marche,28,2,30,765,795,14,23,6170,990,7955,0,7955,246287,144940
Molise,4,0,4,129,133,-2,6,498,24,615,40,655,43196,41728
P.A. Bolzano,28,0,28,533,561,-5,17,2686,292,3539,0,3539,176508,91761
P.A. Trento,14,0,14,553,567,-20,37,5019,406,3735,2257,5992,230074,99092
Piemonte,196,12,208,2636,2844,112,170,28394,4164,23357,12045,35402,720973,434855
Puglia,218,11,229,2287,2516,83,99,4675,595,2360,5426,7786,409364,291519
Sardegna,101,19,120,1941,2061,30,51,1685,154,1958,1942,3900,190647,161097
Sicilia,301,19,320,2546,2866,79,170,3941,311,4641,2477,7118,483845,354475
Toscana,97,22,119,3283,3402,34,120,10261,1164,11834,2993,14827,740483,497351
Umbria,39,3,42,495,537,17,46,1832,85,1668,786,2454,205324,122979
Valle d'Aosta,6,0,6,69,75,6,6,1093,146,1181,133,1314,29126,20125
Veneto,173,21,194,3538,3732,61,155,21541,2178,21197,6254,27451,1904326,742361
