denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,37,1,38,343,381,15,18,2852,472,3283,422,3705,151723,98466
Basilicata,2,0,2,78,80,6,6,406,28,403,111,514,54695,53905
Calabria,14,0,14,165,179,6,6,1146,97,1159,263,1422,150472,148438
Campania,108,4,112,1311,1423,128,130,4373,445,5888,353,6241,396896,219960
Emilia-Romagna,93,8,101,2366,2467,166,171,24460,4458,29098,2287,31385,864232,506243
Friuli Venezia Giulia,13,0,13,322,335,14,25,3026,348,3599,110,3709,316478,149088
Lazio,268,6,274,2281,2555,143,152,7118,877,6576,3974,10550,531582,431825
Liguria,26,0,26,432,458,18,37,8732,1571,8664,2097,10761,230312,123950
Lombardia,173,14,187,6038,6225,256,286,76018,16857,91221,7879,99100,1535682,929040
Marche,8,0,8,275,283,42,61,5924,987,7194,0,7194,199348,118825
Molise,3,0,3,63,66,1,1,432,23,502,19,521,32450,31234
P.A. Bolzano,8,1,9,176,185,7,9,2430,292,2907,0,2907,133436,70742
P.A. Trento,4,1,5,56,61,14,15,4588,405,3421,1633,5054,182673,81734
Piemonte,78,6,84,1197,1281,73,88,27178,4144,24453,8150,32603,574815,351842
Puglia,97,3,100,537,637,40,47,4024,556,1957,3260,5217,294426,207094
Sardegna,24,2,26,542,568,55,57,1265,134,1548,419,1967,130052,110167
Sicilia,62,10,72,947,1019,39,50,2869,286,3102,1072,4174,337874,259530
Toscana,43,5,48,1225,1273,82,99,9100,1140,10608,905,11513,515879,339644
Umbria,12,1,13,209,222,10,20,1417,80,1514,205,1719,147895,92218
Valle d'Aosta,0,0,0,13,13,1,1,1065,146,1105,119,1224,24538,17385
Veneto,58,5,63,2158,2221,63,132,18131,2117,19921,2548,22469,1507987,593488
