denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,28,0,28,125,153,-3,0,2692,464,3106,203,3309,110863,73722
Basilicata,0,0,0,4,4,0,0,373,27,400,4,404,41102,40322
Calabria,4,0,4,23,27,1,1,1060,97,1159,25,1184,100737,98703
Campania,48,0,48,178,226,-1,1,4089,432,4691,56,4747,294712,145538
Emilia-Romagna,98,10,108,952,1060,-4,31,23377,4269,28028,678,28706,526212,314717
Friuli Venezia Giulia,7,0,7,65,72,1,1,2910,345,3323,4,3327,202753,110428
Lazio,202,13,215,658,873,3,5,6495,842,6035,2175,8210,355305,291236
Liguria,38,0,38,247,285,-4,2,8160,1558,8628,1375,10003,156101,83387
Lombardia,229,36,265,8809,9074,-418,53,68793,16713,88988,5592,94580,1092340,653837
Marche,5,0,5,180,185,-4,1,5619,987,6791,0,6791,144089,87246
Molise,0,0,0,18,18,-3,0,404,23,444,1,445,23800,22691
P.A. Bolzano,3,0,3,80,83,0,1,2273,292,2648,0,2648,87774,43059
P.A. Trento,3,0,3,37,40,3,3,4431,405,3380,1496,4876,128597,65442
Piemonte,210,8,218,955,1173,-35,5,26154,4107,26584,4850,31434,434835,269654
Puglia,12,0,12,67,79,-14,0,3910,546,2108,2427,4535,191319,128899
Sardegna,5,0,5,8,13,3,0,1224,134,1360,11,1371,88721,75144
Sicilia,12,0,12,128,140,1,1,2674,282,2749,347,3096,224783,182429
Toscana,12,1,13,326,339,7,19,8851,1116,10086,220,10306,356547,239793
Umbria,3,0,3,5,8,-1,0,1359,80,1433,14,1447,101557,68353
Valle d'Aosta,4,0,4,1,5,0,0,1045,146,1082,114,1196,18869,14138
Veneto,17,2,19,366,385,1,14,16922,2034,19269,72,19341,1022657,425762
