denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,50,4,54,716,770,10,17,3019,477,3683,583,4266,190927,123127
Basilicata,13,1,14,182,196,4,9,454,28,423,255,678,68827,68007
Calabria,29,4,33,467,500,-5,9,1298,98,1159,737,1896,191873,189767
Campania,371,25,396,4761,5157,90,195,5488,457,9568,1534,11102,559258,355075
Emilia-Romagna,192,20,212,4415,4627,14,99,25604,4480,30716,3995,34711,1121383,643017
Friuli Venezia Giulia,21,6,27,680,707,-3,28,3432,350,4158,331,4489,391844,175810
Lazio,544,35,579,5768,6347,163,230,7956,902,7676,7529,15205,820760,686623
Liguria,153,18,171,1483,1654,61,102,9621,1596,9393,3478,12871,294927,158350
Lombardia,303,31,334,8714,9048,-56,229,79472,16935,94409,11046,105455,2012281,1252897
Marche,25,3,28,672,700,14,17,6129,989,7818,0,7818,238026,140335
Molise,3,1,4,129,133,1,4,471,23,587,40,627,40839,39412
P.A. Bolzano,20,1,21,464,485,9,20,2609,292,3386,0,3386,166308,87710
P.A. Trento,14,0,14,535,549,-11,23,4852,405,3696,2110,5806,220523,94954
Piemonte,165,9,174,2288,2462,44,104,28059,4158,23374,11305,34679,688648,417396
Puglia,207,10,217,2046,2263,41,73,4455,586,2287,5017,7304,389613,276895
Sardegna,112,18,130,1632,1762,17,66,1561,148,1859,1612,3471,178154,151015
Sicilia,237,16,253,2208,2461,49,125,3594,304,4221,2138,6359,453581,334504
Toscana,95,24,119,3037,3156,102,156,9907,1153,11569,2647,14216,701914,472376
Umbria,30,3,33,442,475,7,29,1735,85,1629,666,2295,194216,116814
Valle d'Aosta,3,0,3,53,56,-2,3,1085,146,1157,130,1287,28232,19525
Veneto,144,17,161,3111,3272,117,248,20961,2169,20912,5490,26402,1835560,717052
