denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,71,37,108,57,165,37,39,7,4,,,176,1533,
Basilicata,1,2,3,9,12,1,1,0,0,,,12,230,
Calabria,36,7,43,44,87,21,21,1,1,,,89,1030,
Campania,103,22,125,238,363,67,67,28,9,,,400,2517,
Emilia-Romagna,1362,197,1559,1529,3088,347,429,88,346,,,3522,13096,
Friuli Venezia Giulia,96,19,115,231,346,30,39,18,22,,,386,4851,
Lazio,267,31,298,174,472,76,87,32,19,,,523,9330,
Liguria,255,73,328,247,575,82,108,42,50,,,667,2189,
Lombardia,6171,823,6994,3867,10861,818,1377,2368,1420,,,14649,43565,
Marche,528,110,638,547,1185,98,109,0,57,,,1242,3225,
Molise,3,5,8,7,15,-2,4,5,1,,,21,253,
P.A. Bolzano,53,11,64,171,235,36,37,0,6,,,241,1740,
P.A. Trento,73,19,92,275,367,0,0,5,6,,,378,1006,
Piemonte,1045,186,1231,174,1405,375,405,0,111,,,1516,5588,
Puglia,116,6,122,90,212,0,0,2,16,,,230,2017,
Sardegna,39,0,39,66,105,30,30,0,2,,,107,797,
Sicilia,75,20,95,108,203,24,25,8,2,,,213,2653,
Toscana,175,107,282,559,841,78,85,11,14,,,866,5910,
Umbria,30,15,45,114,159,20,21,4,1,,,164,1093,
Valle d'Aosta,28,5,33,70,103,47,48,0,2,,,105,287,
Veneto,498,156,654,1620,2274,285,301,130,69,,,2473,35052,
