denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,214,7,221,1268,1489,-59,12,1263,375,,,3127,51361,35898
Basilicata,42,1,43,88,131,-9,2,231,27,,,389,19678,19186
Calabria,64,1,65,486,551,-17,2,496,93,,,1140,49787,47960
Campania,402,19,421,1394,1815,-62,15,2421,394,,,4630,124370,56390
Emilia-Romagna,1165,123,1288,5214,6502,-299,50,16572,3905,,,26979,243883,155476
Friuli Venezia Giulia,92,2,94,685,779,-22,8,2061,316,,,3156,94600,58936
Lazio,1224,83,1307,2928,4235,-38,38,2438,577,,,7250,188632,150097
Liguria,430,35,465,2253,2718,-61,67,4898,1314,,,8930,72174,43272
Lombardia,5007,307,5314,24718,30032,-643,394,38081,15185,,,83298,524163,310896
Marche,211,20,231,2782,3013,-195,20,2604,971,,,6588,80850,52041
Molise,9,1,10,221,231,5,15,148,22,,,401,10062,9773
P.A. Bolzano,56,7,63,350,413,-24,3,1872,290,,,2575,51181,23120
P.A. Trento,76,9,85,488,573,-94,9,3293,446,,,4312,57997,34662
Piemonte,1858,122,1980,10511,12491,-693,169,13107,3460,,,29058,224788,154504
Puglia,310,27,337,1985,2322,-99,11,1566,460,,,4348,83713,58383
Sardegna,78,10,88,403,491,-15,1,734,120,,,1345,36710,32449
Sicilia,212,13,225,1664,1889,-22,11,1203,262,,,3354,107991,96860
Toscana,284,72,356,3207,3563,-278,27,5302,964,,,9829,189026,138465
Umbria,36,4,40,66,106,-3,0,1241,72,,,1419,50731,35313
Valle d'Aosta,38,0,38,55,93,-11,3,929,141,,,1163,10777,8254
Veneto,364,30,394,4626,5020,-170,31,12081,1712,,,18813,463154,257017
