denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,337,67,404,1087,1491,66,78,136,172,,,1799,14904,
Basilicata,47,17,64,201,265,3,4,12,14,,,291,3160,
Calabria,169,14,183,550,733,11,16,40,60,,,833,14072,
Campania,603,103,706,2059,2765,67,90,167,216,,,3148,25779,
Emilia-Romagna,3750,366,4116,8932,13048,-3,269,2597,2180,,,17825,75191,
Friuli Venezia Giulia,185,44,229,1150,1379,-17,50,610,164,,,2153,23536,
Lazio,1229,192,1421,1944,3365,65,118,546,238,,,4149,48874,
Liguria,1090,156,1246,1966,3212,95,208,925,620,,,4757,16579,
Lombardia,11833,1305,13138,15205,28343,-126,791,14498,9484,,,52325,159331,
Marche,962,139,1101,2637,3738,32,96,342,630,,,4710,16619,
Molise,35,5,40,145,185,-2,0,26,13,,,224,1581,
P.A. Bolzano,325,64,389,912,1301,41,89,336,174,,,1811,17761,
P.A. Trento,360,78,438,1452,1890,52,128,342,244,,,2476,12030,
Piemonte,3553,432,3985,6719,10704,159,419,1320,1319,,,13343,44121,
Puglia,615,93,708,1429,2137,22,70,168,209,,,2514,23149,
Sardegna,122,26,148,673,821,2,13,62,52,,,935,7680,
Sicilia,562,73,635,1224,1859,44,51,113,125,,,2097,24857,
Toscana,1087,263,1350,4077,5427,126,172,377,369,,,6173,56651,
Umbria,157,41,198,648,846,-26,10,368,49,,,1263,13274,
Valle d'Aosta,118,17,135,458,593,26,30,142,100,,,835,2754,
Veneto,1579,297,1876,8089,9965,243,337,1265,695,,,11925,153542,
