denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,317,40,357,1630,1987,16,34,276,258,,,2521,27791,22424
Basilicata,59,8,67,180,247,-15,3,71,24,,,342,6528,6528
Calabria,142,6,148,696,844,12,24,116,75,,,1035,23760,22234
Campania,590,61,651,2371,3022,-23,41,703,304,,,4029,48187,34994
Emilia-Romagna,3166,289,3455,10097,13552,-32,376,5985,3023,,,22560,124916,88776
Friuli Venezia Giulia,140,25,165,1172,1337,-66,14,1183,225,,,2745,44622,27544
Lazio,1370,185,1555,2766,4321,39,87,1093,341,,,5755,91807,22702
Liguria,885,101,986,2504,3490,78,227,2110,928,,,6528,31551,21103
Lombardia,10342,922,11264,23233,34497,302,855,19526,12213,,,66236,264155,183757
Marche,799,86,885,2297,3182,10,48,1780,807,,,5769,41474,27099
Molise,27,4,31,184,215,6,10,47,17,,,279,3584,3482
P.A. Bolzano,162,23,185,1381,1566,10,55,569,245,,,2380,30361,14783
P.A. Trento,278,41,319,1652,1971,-14,101,1201,360,,,3532,24388,16685
Piemonte,3201,305,3506,10964,14470,247,593,4256,2331,,,21057,96569,71644
Puglia,590,60,650,2136,2786,92,120,427,316,,,3529,42598,41580
Sardegna,117,22,139,725,864,-17,17,265,86,,,1215,14859,13760
Sicilia,522,41,563,1639,2202,31,45,315,200,,,2717,49772,49772
Toscana,852,192,1044,5452,6496,26,135,1239,637,,,8372,103975,84620
Umbria,108,30,138,298,436,5,4,854,58,,,1348,25170,16790
Valle d'Aosta,102,10,112,450,562,13,15,401,125,,,1088,4677,3802
Veneto,1264,184,1448,8762,10210,-234,243,4638,1087,,,15935,255797,161231
