denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,11,2,13,100,113,-2,4,2773,470,3129,227,3356,123200,81191
Basilicata,2,0,2,44,46,0,0,373,28,402,45,447,45346,44561
Calabria,3,0,3,75,78,1,1,1071,97,1159,87,1246,114770,112736
Campania,17,2,19,313,332,3,6,4114,434,4816,64,4880,319860,162108
Emilia-Romagna,79,4,83,1289,1372,22,63,23758,4283,28253,1160,29413,603288,361148
Friuli Venezia Giulia,9,2,11,87,98,1,5,2925,345,3354,14,3368,237371,121040
Lazio,184,9,193,723,916,9,18,6743,857,6155,2361,8516,399130,329353
Liguria,26,0,26,172,198,-1,5,8380,1566,8479,1665,10144,178615,95636
Lombardia,144,17,161,6598,6759,-182,53,72208,16801,89450,6318,95768,1242775,746025
Marche,2,1,3,129,132,-5,1,5697,987,6816,0,6816,160592,96414
Molise,0,0,0,18,18,1,1,419,23,458,2,460,26589,25438
P.A. Bolzano,6,0,6,77,83,-6,1,2312,292,2687,0,2687,99351,50667
P.A. Trento,2,0,2,85,87,16,16,4465,405,3390,1567,4957,145952,70520
Piemonte,147,5,152,624,776,-9,11,26679,4123,25578,6000,31578,481626,295873
Puglia,11,0,11,56,67,3,13,3962,549,1991,2587,4578,225690,155202
Sardegna,7,0,7,9,16,2,3,1235,134,1364,21,1385,101985,86544
Sicilia,11,2,13,157,170,7,8,2713,283,2765,401,3166,259946,206743
Toscana,14,0,14,321,335,7,11,8939,1131,10176,229,10405,404349,269409
Umbria,7,0,7,12,19,2,2,1366,80,1444,21,1465,115741,75407
Valle d'Aosta,1,0,1,0,1,0,0,1049,146,1079,117,1196,20745,15168
Veneto,30,2,32,653,685,28,30,17011,2063,19349,410,19759,1161454,468576
