denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,234,57,291,331,622,17,26,21,46,,,689,4294,
Basilicata,14,12,26,65,91,2,2,0,1,,,92,744,
Calabria,88,21,109,195,304,24,27,5,10,,,319,4486,
Campania,345,181,526,466,992,63,75,53,56,,,1101,6297,
Emilia-Romagna,2974,291,3265,4446,7711,491,719,558,985,,,9254,33527,
Friuli Venezia Giulia,195,49,244,604,848,77,62,80,64,,,992,8526,
Lazio,747,94,841,704,1545,131,188,103,80,,,1728,18371,
Liguria,803,147,950,742,1692,139,192,193,231,,,2116,5992,
Lombardia,9711,1194,10905,8963,19868,958,1942,6657,4178,,,30703,76695,
Marche,862,149,1011,1486,2497,139,167,8,231,,,2736,7229,
Molise,27,7,34,21,55,5,6,10,8,,,73,572,
P.A. Bolzano,166,38,204,495,699,11,57,44,38,,,781,6509,
P.A. Trento,308,49,357,618,975,61,87,79,56,,,1110,3712,
Piemonte,2404,360,2764,2360,5124,595,654,17,374,,,5515,15469,
Puglia,317,57,374,566,940,78,99,21,44,,,1005,7345,
Sardegna,80,19,99,296,395,52,62,11,15,,,421,2859,
Sicilia,250,60,310,489,799,118,125,27,20,,,846,7170,
Toscana,918,244,1162,1357,2519,218,238,51,129,,,2699,15701,
Umbria,105,43,148,476,624,68,71,5,19,,,648,4108,
Valle d'Aosta,71,20,91,288,379,0,7,2,19,,,400,1180,
Veneto,1318,304,1622,3729,5351,365,443,381,216,,,5948,66178,
