denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,52,4,56,809,865,8,14,3051,481,3764,633,4397,197714,126999
Basilicata,13,1,14,262,276,3,6,471,29,425,351,776,72153,71333
Calabria,34,2,36,508,544,-2,10,1323,100,1159,808,1967,199777,197671
Campania,417,35,452,5513,5965,225,286,6027,463,10844,1611,12455,590407,378937
Emilia-Romagna,204,14,218,4492,4710,25,97,26016,4484,30967,4243,35210,1166500,662825
Friuli Venezia Giulia,21,6,27,697,724,3,28,3563,351,4286,352,4638,406238,180925
Lazio,674,45,719,6330,7049,128,219,8303,913,7999,8266,16265,867704,724000
Liguria,143,22,165,1553,1718,-52,89,9963,1603,9554,3730,13284,307163,164500
Lombardia,315,33,348,8751,9099,-235,203,80476,16951,95011,11515,106526,2090140,1303500
Marche,26,3,29,752,781,19,26,6161,990,7932,0,7932,244672,144152
Molise,5,1,6,129,135,-2,1,490,24,609,40,649,42678,41224
P.A. Bolzano,28,0,28,538,566,6,8,2664,292,3522,0,3522,174711,91062
P.A. Trento,11,0,11,576,587,-28,13,4962,406,3724,2231,5955,227654,98077
Piemonte,193,12,205,2527,2732,48,100,28337,4163,23262,11970,35232,714369,431233
Puglia,210,14,224,2209,2433,14,76,4662,592,2344,5343,7687,404787,288503
Sardegna,102,19,121,1910,2031,62,82,1667,151,1944,1905,3849,187520,158909
Sicilia,293,16,309,2478,2787,44,163,3851,310,4541,2407,6948,477200,350664
Toscana,97,20,117,3251,3368,-25,56,10175,1164,11776,2931,14707,732780,492445
Umbria,39,3,42,478,520,12,23,1803,85,1659,749,2408,203384,121933
Valle d'Aosta,4,0,4,65,69,4,8,1093,146,1176,132,1308,28926,19979
Veneto,167,21,188,3483,3671,50,140,21448,2177,21130,6166,27296,1891881,737524
