denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,311,70,381,646,1027,102,116,30,76,,,1133,7003,
Basilicata,26,19,45,133,178,31,31,1,3,,,182,1421,
Calabria,107,22,129,394,523,54,61,11,21,,,555,7760,
Campania,463,132,595,812,1407,115,138,76,109,,,1592,10616,
Emilia-Romagna,3695,316,4011,5953,9964,603,795,1075,1344,,,12383,52991,
Friuli Venezia Giulia,223,59,282,838,1120,93,119,229,87,,,1436,12723,
Lazio,985,133,1118,1063,2181,168,210,200,124,,,2505,27179,
Liguria,1031,167,1198,888,2086,26,126,378,358,,,2822,8177,
Lombardia,11152,1319,12471,12038,24509,614,2117,8962,5944,,,39415,102503,
Marche,987,166,1153,1846,2999,149,177,10,364,,,3373,9884,
Molise,26,9,35,63,98,12,14,16,9,,,123,807,
P.A. Bolzano,225,51,276,653,929,96,106,116,64,,,1109,9168,
P.A. Trento,351,72,423,811,1234,70,114,151,120,,,1505,5561,
Piemonte,3094,439,3533,3318,6851,504,579,203,617,,,7671,21511,
Puglia,563,98,661,697,1358,122,124,29,71,,,1458,11500,
Sardegna,95,22,117,452,569,73,94,29,26,,,624,4225,
Sicilia,441,71,512,730,1242,84,109,60,57,,,1359,13096,
Toscana,1093,277,1370,2141,3511,341,367,108,198,,,3817,25613,
Umbria,159,44,203,695,898,74,85,43,28,,,969,7028,
Valle d'Aosta,90,26,116,352,468,55,59,2,41,,,511,1380,
Veneto,1559,344,1903,5010,6913,265,433,655,362,,,7930,89380,
