denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,7,0,7,0,7,1,1,0,0,,,7,85,
Basilicata,0,0,0,1,1,0,0,0,0,,,1,48,
Calabria,0,0,0,1,1,0,0,0,0,,,1,46,
Campania,11,0,11,20,31,1,1,0,0,,,31,429,
Emilia-Romagna,256,26,282,234,516,118,124,6,22,,,544,2500,
Friuli Venezia Giulia,3,0,3,15,18,5,5,0,0,,,18,376,
Lazio,15,3,18,9,27,16,16,3,0,,,30,995,
Liguria,10,3,13,8,21,2,2,4,1,,,26,133,
Lombardia,877,209,1086,411,1497,171,300,250,73,,,1820,12138,
Marche,34,15,49,31,80,21,23,0,4,,,84,288,
Molise,3,0,3,0,3,0,0,0,0,,,3,19,
P.A. Bolzano,1,0,1,0,1,0,0,0,0,,,1,20,
P.A. Trento,1,0,1,4,5,1,1,0,0,,,5,122,
Piemonte,26,13,39,43,82,26,26,0,0,,,82,543,
Puglia,4,0,4,3,7,1,3,1,1,,,9,322,
Sardegna,1,0,1,1,2,1,1,0,0,,,2,42,
Sicilia,5,0,5,11,16,11,11,2,0,,,18,367,
Toscana,15,2,17,20,37,19,19,1,0,,,38,776,
Umbria,1,1,2,7,9,1,1,0,0,,,9,58,
Valle d'Aosta,0,0,0,0,0,0,0,0,0,,,0,15,
Veneto,76,23,99,246,345,48,53,9,6,,,360,10515,
