denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,22,1,23,167,190,37,39,2812,472,3178,296,3474,134268,87440
Basilicata,2,0,2,72,74,21,21,373,28,402,73,475,48882,48092
Calabria,7,1,8,89,97,6,7,1089,97,1159,124,1283,126434,124400
Campania,32,2,34,338,372,-13,15,4240,438,4968,82,5050,345975,180679
Emilia-Romagna,79,4,83,1592,1675,23,54,24041,4292,28476,1532,30008,714133,429300
Friuli Venezia Giulia,13,3,16,139,155,2,4,2935,346,3407,29,3436,266031,129930
Lazio,184,8,192,816,1008,15,20,6891,865,6231,2533,8764,435517,357556
Liguria,22,1,23,193,216,6,9,8488,1568,8445,1827,10272,198244,105914
Lombardia,170,9,179,5466,5645,-83,69,74232,16829,89924,6782,96706,1352490,813260
Marche,13,0,13,145,158,17,21,5790,987,6934,1,6935,173725,103904
Molise,1,0,1,34,35,1,1,421,23,475,4,479,28840,27685
P.A. Bolzano,8,0,8,120,128,4,4,2341,292,2761,0,2761,111813,57987
P.A. Trento,5,0,5,77,82,2,4,4505,405,3399,1593,4992,160139,74347
Piemonte,88,3,91,701,792,14,37,26871,4136,25012,6787,31799,516586,315167
Puglia,26,0,26,144,170,12,11,3973,553,1844,2852,4696,253378,174742
Sardegna,8,0,8,50,58,3,3,1241,134,1374,59,1433,111619,94626
Sicilia,37,4,41,328,369,27,27,2743,284,2866,530,3396,291872,226979
Toscana,18,0,18,417,435,10,13,8988,1137,10292,268,10560,444333,292933
Umbria,8,0,8,25,33,4,6,1375,80,1455,33,1488,126654,80959
Valle d'Aosta,5,0,5,12,17,4,4,1051,146,1096,118,1214,22230,15985
Veneto,31,6,37,1178,1215,118,183,17242,2078,19503,1032,20535,1295746,505441
