denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,88,4,92,561,653,0,7,2194,418,,,3265,83020,56702
Basilicata,0,0,0,14,14,-3,0,358,27,,,399,32147,31357
Calabria,18,0,18,73,91,0,0,971,97,,,1159,76142,74080
Campania,86,6,92,633,725,-13,4,3675,426,,,4826,217898,108785
Emilia-Romagna,245,32,277,2051,2328,-88,14,21405,4175,,,27908,355952,213979
Friuli Venezia Giulia,22,4,26,125,151,-10,0,2793,339,,,3283,147673,85671
Lazio,467,49,516,2174,2690,-7,11,4362,760,,,7812,274129,221612
Liguria,127,5,132,111,243,-2,13,8070,1499,,,9812,116247,63749
Lombardia,2801,107,2908,16512,19420,-79,125,54505,16270,,,90195,821977,485842
Marche,41,2,43,1116,1159,-36,3,4595,991,,,6745,113729,69376
Molise,0,2,2,118,120,-1,0,293,23,,,436,16791,16056
P.A. Bolzano,7,2,9,88,97,-3,3,2214,292,,,2603,71755,33944
P.A. Trento,6,1,7,75,82,-22,1,3889,464,,,4435,95638,51385
Piemonte,659,38,697,3265,3962,-205,10,22952,3941,,,30855,343354,221367
Puglia,96,4,100,633,733,-25,0,3253,525,,,4511,131931,86405
Sardegna,10,1,11,48,59,-1,0,1172,131,,,1362,63172,53735
Sicilia,42,7,49,813,862,-4,1,2312,277,,,3451,164985,139481
Toscana,52,20,72,678,750,-35,1,8315,1070,,,10135,272106,192675
Umbria,10,2,12,17,29,1,1,1327,76,,,1432,76179,54314
Valle d'Aosta,6,0,6,3,9,-3,2,1038,144,,,1191,15905,12335
Veneto,81,1,82,1003,1085,-79,1,16144,1954,,,19183,745805,354338
