denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,113,6,119,624,743,-1,4,2093,413,,,3249,77892,53279
Basilicata,4,0,4,20,24,-4,0,348,27,,,399,30424,29664
Calabria,20,1,21,91,112,-23,0,949,97,,,1158,71617,69419
Campania,236,7,243,647,890,-49,3,3504,415,,,4809,206834,100269
Emilia-Romagna,358,50,408,2504,2912,-156,19,20780,4136,,,27828,333629,201267
Friuli Venezia Giulia,40,2,42,202,244,-22,2,2696,336,,,3276,136524,80795
Lazio,580,56,636,2211,2847,-47,5,4155,741,,,7743,260102,209892
Liguria,175,7,182,364,546,-65,15,7720,1468,,,9734,109060,60631
Lombardia,3021,166,3187,17068,20255,-606,187,52807,16143,,,89205,766122,451502
Marche,60,9,69,1257,1326,-1,4,4421,987,,,6734,104968,66434
Molise,3,2,5,128,133,-2,0,281,22,,,436,14951,14278
P.A. Bolzano,13,3,16,104,120,-3,0,2187,291,,,2598,67643,31610
P.A. Trento,14,2,16,267,283,-10,0,3686,463,,,4432,89787,49173
Piemonte,849,46,895,3933,4828,-234,57,22003,3884,,,30715,325097,211174
Puglia,134,11,145,906,1051,-104,0,2939,508,,,4498,121460,81372
Sardegna,21,1,22,133,155,-6,0,1071,131,,,1357,58224,49736
Sicilia,62,7,69,897,966,-1,4,2206,275,,,3447,153417,130886
Toscana,85,25,110,901,1011,-71,10,8053,1053,,,10117,257178,182335
Umbria,15,2,17,14,31,0,0,1324,76,,,1431,71769,51508
Valle d'Aosta,10,0,10,3,13,-4,0,1031,143,,,1187,15327,12027
Veneto,103,5,108,1295,1403,-65,8,15838,1921,,,19162,690267,340051
