denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,222,8,230,1318,1548,-61,8,1197,370,,,3115,50295,35241
Basilicata,47,1,48,92,140,-2,1,220,27,,,387,19100,18608
Calabria,65,1,66,502,568,0,4,477,93,,,1138,48420,46593
Campania,414,20,434,1443,1877,-32,13,2345,393,,,4615,121253,55406
Emilia-Romagna,1384,136,1520,5281,6801,-239,53,16243,3885,,,26929,239178,153074
Friuli Venezia Giulia,96,2,98,703,801,-29,10,2034,313,,,3148,93051,58395
Lazio,1258,84,1342,2931,4273,-21,22,2373,566,,,7212,185085,147010
Liguria,447,35,482,2297,2779,-65,31,4783,1301,,,8863,70159,42200
Lombardia,5222,322,5544,25131,30675,264,1033,37113,15116,,,82904,513244,305152
Marche,230,24,254,2954,3208,-19,25,2391,969,,,6568,79414,51176
Molise,13,1,14,212,226,-3,3,138,22,,,386,9981,9582
P.A. Bolzano,56,7,63,374,437,-10,0,1845,290,,,2572,50381,22731
P.A. Trento,80,9,89,578,667,-68,6,3191,445,,,4303,55334,33082
Piemonte,1900,136,2036,11148,13184,-154,113,12277,3428,,,28889,218071,149386
Puglia,334,31,365,2056,2421,-123,10,1460,456,,,4337,81492,57060
Sardegna,77,11,88,418,506,-5,1,718,120,,,1344,35476,31351
Sicilia,234,15,249,1662,1911,-151,4,1171,261,,,3343,105017,94034
Toscana,307,72,379,3462,3841,-232,15,5002,959,,,9802,184851,136285
Umbria,41,4,45,64,109,1,7,1239,71,,,1419,49249,34207
Valle d'Aosta,45,0,45,59,104,-3,2,916,140,,,1160,10415,7956
Veneto,393,33,426,4764,5190,-270,41,11906,1686,,,18782,454189,253374
