denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,289,11,300,1509,1809,-28,25,881,335,,,3025,42489,30835
Basilicata,50,3,53,124,177,4,10,194,25,,,396,15476,15028
Calabria,92,4,96,554,650,-24,1,381,88,,,1119,40509,38461
Campania,408,25,433,2097,2530,-181,20,1619,369,,,4518,93068,48733
Emilia-Romagna,1917,191,2108,6573,8681,-303,100,13889,3705,,,26275,206166,136310
Friuli Venezia Giulia,120,4,124,860,984,-66,9,1798,303,,,3085,78510,50135
Lazio,1315,91,1406,2964,4370,-15,67,2010,534,,,6914,157307,122541
Liguria,583,68,651,2776,3427,-81,63,3816,1232,,,8475,57622,36150
Lombardia,6201,509,6710,30382,37092,-215,500,27124,14389,,,78605,425290,255292
Marche,387,42,429,2790,3219,13,29,2237,936,,,6392,67256,44045
Molise,9,1,10,167,177,-1,0,102,22,,,301,7528,7252
P.A. Bolzano,99,11,110,502,612,-24,1,1644,286,,,2542,45264,20561
P.A. Trento,126,15,141,900,1041,-124,3,2787,433,,,4261,42870,25137
Piemonte,2307,155,2462,12861,15323,-239,152,9235,3216,,,27774,181316,126685
Puglia,384,39,423,2516,2939,-6,17,798,433,,,4170,69128,67238
Sardegna,94,9,103,539,642,-11,1,557,119,,,1318,28867,25631
Sicilia,367,26,393,1809,2202,0,12,818,247,,,3267,91306,82079
Toscana,484,111,595,4595,5190,-89,30,3552,889,,,9631,157260,118265
Umbria,56,11,67,109,176,-5,6,1154,70,,,1400,39998,27822
Valle d'Aosta,56,3,59,51,110,0,0,894,139,,,1143,8484,6342
Veneto,926,98,1024,6092,7116,-118,29,9741,1545,,,18402,390952,227579
