denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,306,26,332,4697,5029,420,434,3630,534,6889,2304,9193,276681,172659
Basilicata,73,7,80,1104,1184,108,120,670,47,624,1277,1901,99466,98626
Calabria,120,11,131,2373,2504,179,196,1785,111,1174,3226,4400,266246,263352
Campania,1235,160,1395,33491,34886,2045,2427,10272,624,43234,2548,45782,901583,611945
Emilia-Romagna,999,119,1118,17112,18230,1150,1212,27671,4593,38677,11817,50494,1531311,827354
Friuli Venezia Giulia,146,35,181,3551,3732,287,406,5028,382,8208,934,9142,521139,223790
Lazio,1669,166,1835,26111,27946,1804,1963,10788,1158,14597,25295,39892,1361332,1111817
Liguria,878,46,924,6554,7478,521,926,16312,1733,18076,7447,25523,424986,221286
Lombardia,3072,292,3364,58042,61406,6522,7558,91763,17357,138923,31603,170526,2808259,1755084
Marche,250,32,282,4244,4526,301,351,6875,1008,12409,0,12409,310091,181572
Molise,19,4,23,676,699,7,19,674,31,1354,50,1404,61105,57441
P.A. Bolzano,181,15,196,3725,3921,183,190,2962,304,7187,0,7187,225141,116456
P.A. Trento,94,6,100,1667,1767,119,191,6154,432,4744,3609,8353,280137,112387
Piemonte,2237,135,2372,23415,25787,2547,2827,32353,4305,30854,31591,62445,984720,599224
Puglia,690,70,760,8677,9437,729,772,6217,699,4657,11696,16353,537592,383008
Sardegna,298,37,335,5013,5348,287,362,2973,205,3243,5283,8526,257266,218343
Sicilia,787,111,898,11290,12188,454,708,6386,459,12141,6892,19033,662150,468458
Toscana,857,130,987,21373,22360,1320,1708,13335,1297,29543,7449,36992,1041270,696653
Umbria,255,37,292,4707,4999,238,401,3160,114,2723,5550,8273,286380,167083
Valle d'Aosta,107,7,114,1316,1430,63,77,1216,157,2496,307,2803,39314,24935
Veneto,708,90,798,20802,21600,2083,2143,25180,2355,24377,24758,49135,2275869,886165
