denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,149,3,152,894,1046,-46,1,1781,400,,,3227,67468,46146
Basilicata,13,0,13,23,36,-3,0,336,27,,,399,26634,25944
Calabria,42,1,43,221,264,-11,0,797,96,,,1157,63508,61249
Campania,287,7,294,919,1213,-55,6,3137,405,,,4755,175466,82786
Emilia-Romagna,514,82,596,3763,4359,-98,29,19160,4068,,,27587,294181,183187
Friuli Venezia Giulia,62,1,63,323,386,-26,4,2525,329,,,3240,120123,73079
Lazio,1085,60,1145,2409,3554,-15,16,3401,688,,,7643,235840,190052
Liguria,236,18,254,1302,1556,-68,17,6516,1425,,,9497,94472,53791
Lombardia,3721,196,3917,21298,25215,-399,148,46169,15874,,,87258,675882,400252
Marche,95,13,108,1554,1662,-30,2,4059,995,,,6716,96270,61347
Molise,5,2,7,170,177,-6,0,233,22,,,432,13315,12819
P.A. Bolzano,29,5,34,150,184,-11,0,2118,291,,,2593,61075,28189
P.A. Trento,27,4,31,486,517,-18,1,3430,458,,,4405,80454,45531
Piemonte,1227,72,1299,6197,7496,-207,48,18934,3798,,,30228,288018,191129
Puglia,190,15,205,1473,1678,-115,9,2298,491,,,4467,104670,72042
Sardegna,49,3,52,179,231,-14,-2,994,129,,,1354,51073,43924
Sicilia,89,9,98,1335,1433,-20,4,1724,270,,,3427,135261,118208
Toscana,152,37,189,1447,1636,-64,5,7416,1015,,,10067,230273,165114
Umbria,15,2,17,29,46,-7,0,1309,75,,,1430,63916,45268
Valle d'Aosta,19,1,20,13,33,1,1,1003,143,,,1179,14175,11123
Veneto,179,10,189,2389,2578,-82,11,14641,1878,,,19097,590179,308128
