denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,246,10,256,1420,1676,-37,8,1055,355,,,3086,47190,33013
Basilicata,45,1,46,99,145,-7,0,210,27,,,382,17433,16941
Calabria,68,2,70,542,612,-7,3,427,90,,,1129,45071,42993
Campania,415,26,441,1524,1965,-47,14,2223,388,,,4576,110811,52593
Emilia-Romagna,1604,155,1759,5642,7401,-329,121,15491,3827,,,26719,227366,146642
Friuli Venezia Giulia,101,3,104,765,869,-42,8,1947,308,,,3124,88384,55319
Lazio,1277,82,1359,2986,4345,17,47,2235,553,,,7133,174448,137428
Liguria,501,42,543,2439,2982,-194,15,4480,1276,,,8738,64926,39600
Lombardia,5535,330,5865,24397,30262,-1721,502,36039,14924,,,81225,477765,282817
Marche,285,32,317,2913,3230,-8,23,2305,958,,,6493,73965,47827
Molise,8,0,8,197,205,21,20,120,22,,,347,8691,8375
P.A. Bolzano,55,9,64,409,473,-29,9,1804,290,,,2567,48858,21969
P.A. Trento,87,10,97,733,830,-42,7,3024,438,,,4292,50278,30354
Piemonte,2010,143,2153,11781,13934,-173,181,11284,3331,,,28549,205800,141515
Puglia,344,33,377,2352,2729,-4,30,1114,443,,,4286,76643,54181
Sardegna,87,11,98,452,550,-3,4,665,119,,,1334,33330,29503
Sicilia,277,17,294,1786,2080,-47,12,977,256,,,3313,101548,90885
Toscana,364,79,443,4005,4448,-144,24,4360,937,,,9745,174596,129382
Umbria,45,6,51,60,111,-8,1,1225,71,,,1407,45574,31679
Valle d'Aosta,45,3,48,70,118,-5,1,895,139,,,1152,9443,7130
Veneto,435,40,475,5402,5877,-310,53,11151,1643,,,18671,432114,244930
