denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,83,5,88,462,550,-17,0,2263,453,,,3266,86082,58766
Basilicata,1,0,1,10,11,-3,0,362,27,,,400,33551,32761
Calabria,18,0,18,36,54,-14,0,1008,97,,,1159,78174,76112
Campania,74,2,76,566,642,-33,1,3764,428,,,4834,223302,112309
Emilia-Romagna,228,25,253,1808,2061,-95,24,21717,4192,,,27970,375278,223413
Friuli Venezia Giulia,25,1,26,87,113,-15,2,2832,341,,,3286,152866,90061
Lazio,368,47,415,2151,2566,-4,18,4533,770,,,7869,283630,229513
Liguria,110,3,113,132,245,-4,20,8096,1513,,,9854,121023,66009
Lombardia,2565,98,2663,15194,17857,-440,99,56474,16349,,,90680,845618,502047
Marche,29,0,29,918,947,-45,3,4811,992,,,6750,116320,70837
Molise,0,2,2,118,120,0,1,296,23,,,439,17375,16611
P.A. Bolzano,7,2,9,85,94,-1,0,2218,292,,,2604,73404,35148
P.A. Trento,6,1,7,73,80,-1,0,3895,464,,,4439,97739,52412
Piemonte,564,35,599,2773,3372,-299,26,23568,3976,,,30916,353737,226874
Puglia,71,4,75,482,557,-56,0,3426,529,,,4512,138377,91918
Sardegna,9,1,10,40,50,-4,0,1180,131,,,1361,65175,55439
Sicilia,40,6,46,807,853,0,1,2324,278,,,3455,171384,144193
Toscana,40,15,55,484,539,-89,3,8531,1078,,,10148,280491,198466
Umbria,13,2,15,13,28,-1,1,1332,76,,,1436,78366,55763
Valle d'Aosta,3,0,3,3,6,-2,0,1041,144,,,1191,16141,12502
Veneto,66,0,66,899,965,-39,3,16268,1961,,,19194,773316,362400
