denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,181,47,228,138,366,117,122,8,11,,,385,2409,
Basilicata,8,5,13,24,37,10,10,0,0,,,37,353,
Calabria,60,13,73,91,164,38,40,2,3,,,169,2342,
Campania,213,36,249,356,605,182,192,30,17,,,652,3544,
Emilia-Romagna,1900,260,2160,2346,4506,591,689,177,531,,,5214,18344,
Friuli Venezia Giulia,134,29,163,359,522,106,137,41,36,,,599,4052,
Lazio,426,45,471,270,741,91,99,44,38,,,823,11145,
Liguria,491,112,603,280,883,139,172,85,91,,,1059,3348,
Lombardia,7387,1006,8393,5545,13938,1672,2171,3778,2168,,,19884,52244,
Marche,656,141,797,825,1622,146,169,0,115,,,1737,4512,
Molise,19,6,25,13,38,17,18,6,2,,,46,426,
P.A. Bolzano,87,18,105,316,421,55,60,1,14,,,436,3568,
P.A. Trento,169,30,199,292,491,55,68,20,12,,,523,2203,
Piemonte,2279,257,2536,218,2754,567,591,3,175,,,2932,8853,
Puglia,173,31,204,245,449,87,95,4,25,,,478,4046,
Sardegna,43,9,52,152,204,72,72,0,2,,,206,1334,
Sicilia,143,36,179,142,321,54,58,15,4,,,340,3961,
Toscana,501,178,679,743,1422,131,152,22,38,,,1482,8873,
Umbria,69,21,90,238,328,87,87,4,2,,,334,1954,
Valle d'Aosta,47,9,56,153,209,47,50,0,6,,,215,608,
Veneto,771,209,980,2189,3169,216,270,200,115,,,3484,44658,
