denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,39,1,40,343,383,2,20,2870,472,3300,425,3725,153133,99372
Basilicata,1,1,2,81,83,3,4,407,28,405,113,518,55308,54518
Calabria,14,0,14,175,189,10,10,1146,97,1159,273,1432,152010,149976
Campania,121,5,126,1470,1596,173,183,4383,445,5990,434,6424,402390,224127
Emilia-Romagna,94,9,103,2518,2621,154,164,24467,4459,29170,2377,31547,874312,513131
Friuli Venezia Giulia,13,0,13,334,347,12,19,3033,348,3607,121,3728,318708,149961
Lazio,283,6,289,2427,2716,161,166,7122,878,6611,4105,10716,545595,444539
Liguria,28,0,28,441,469,11,46,8767,1571,8644,2163,10807,232350,125061
Lombardia,172,17,189,6265,6454,229,316,76102,16860,91355,8061,99416,1555403,943463
Marche,8,1,9,282,291,8,17,5933,987,7211,0,7211,200877,119608
Molise,3,0,3,64,67,1,1,432,23,502,20,522,32919,31696
P.A. Bolzano,8,1,9,180,189,4,8,2434,292,2915,0,2915,134717,71480
P.A. Trento,6,1,7,67,74,13,16,4591,405,3433,1637,5070,184063,82117
Piemonte,82,6,88,1258,1346,65,91,27203,4145,24420,8274,32694,579034,354777
Puglia,104,5,109,575,684,47,51,4028,556,1964,3304,5268,297585,209467
Sardegna,23,2,25,597,622,54,55,1266,134,1555,467,2022,131604,111549
Sicilia,69,9,78,980,1058,39,54,2884,286,3125,1103,4228,341110,261940
Toscana,47,4,51,1298,1349,76,82,9105,1141,10625,970,11595,521946,343913
Umbria,12,0,12,217,229,7,22,1432,80,1515,226,1741,149916,93480
Valle d'Aosta,1,0,1,14,15,2,2,1065,146,1106,120,1226,24628,17429
Veneto,50,6,56,2197,2253,32,135,18232,2119,19941,2663,22604,1522902,598349
