denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,67,3,70,398,468,-18,1,2355,457,,,3280,92874,62709
Basilicata,0,1,1,9,10,-1,0,364,27,,,401,35666,34876
Calabria,18,0,18,18,36,-1,0,1029,97,,,1162,83281,81219
Campania,57,2,59,214,273,-16,0,3910,430,,,4613,242662,123167
Emilia-Romagna,180,11,191,1214,1405,-95,13,22483,4209,,,28097,417184,247911
Friuli Venezia Giulia,14,0,14,85,99,0,1,2855,343,,,3297,162440,95057
Lazio,308,38,346,783,1129,-163,9,6024,814,,,7967,302305,245960
Liguria,76,2,78,164,242,-4,4,8120,1529,,,9891,129249,69980
Lombardia,1902,69,1971,13262,15233,-743,143,60361,16466,,,92060,906322,539604
Marche,19,0,19,582,601,-16,1,5168,994,,,6763,122650,74194
Molise,1,0,1,64,65,-5,0,351,23,,,439,19368,18444
P.A. Bolzano,8,1,9,84,93,-1,0,2226,292,,,2611,76661,36931
P.A. Trento,2,0,2,62,64,-2,0,3919,465,,,4448,104696,55530
Piemonte,472,28,500,1950,2450,-154,29,24622,4018,,,31090,372948,236721
Puglia,48,2,50,303,353,-57,0,3628,535,,,4516,151482,99985
Sardegna,13,0,13,20,33,0,2,1200,132,,,1365,70202,59536
Sicilia,32,4,36,770,806,1,2,2374,280,,,3460,182514,152670
Toscana,34,14,48,415,463,-26,3,8637,1091,,,10191,296812,209629
Umbria,8,1,9,9,18,0,1,1342,77,,,1437,83435,58815
Valle d'Aosta,6,0,6,4,10,-2,0,1037,144,,,1191,16764,12907
Veneto,36,1,37,681,718,-37,1,16521,1982,,,19221,826192,376001
