denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,323,26,349,1712,2061,-18,29,478,293,,,2832,33624,25959
Basilicata,58,7,65,153,218,-11,1,118,25,,,361,9792,9792
Calabria,125,7,132,679,811,-10,9,197,80,,,1088,29959,28006
Campania,543,55,598,2337,2935,-8,17,1023,341,,,4299,64521,41399
Emilia-Romagna,2718,246,2964,9383,12347,-162,239,8515,3347,,,24209,156883,105628
Friuli Venezia Giulia,122,15,137,947,1084,-236,21,1556,263,,,2903,58375,37211
Lazio,1421,183,1604,2957,4561,69,92,1276,387,,,6224,118354,90582
Liguria,759,83,842,2591,3433,-4,128,2775,1093,,,7301,41125,26898
Lombardia,8489,724,9213,25260,34473,105,713,24227,13269,,,71969,326940,202827
Marche,689,58,747,2525,3272,-1,30,1912,874,,,6058,50996,34256
Molise,19,1,20,178,198,-2,5,73,21,,,292,5191,5089
P.A. Bolzano,141,14,155,880,1035,-58,20,1176,265,,,2476,36608,17573
P.A. Trento,202,27,229,1515,1744,-83,62,1694,400,,,3838,30661,19394
Piemonte,2937,238,3175,12327,15502,111,604,6157,2767,,,24426,131107,93325
Puglia,469,48,517,2402,2919,-14,31,602,391,,,3912,54628,53500
Sardegna,96,18,114,680,794,-10,14,374,103,,,1271,20351,18480
Sicilia,452,33,485,1787,2272,-48,39,524,224,,,3020,68251,64892
Toscana,687,166,853,5293,6146,13,138,2109,760,,,9015,125495,98753
Umbria,95,18,113,184,297,-25,3,1006,63,,,1366,31939,21842
Valle d'Aosta,83,6,89,224,313,-41,0,657,130,,,1100,5966,4694
Veneto,1105,129,1234,8198,9432,-247,162,6671,1288,,,17391,306977,186426
