denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,11,2,13,99,112,-1,3,2777,470,3130,229,3359,123996,81641
Basilicata,2,0,2,44,46,0,1,374,28,402,46,448,45706,44921
Calabria,3,0,3,76,79,1,1,1071,97,1159,88,1247,115719,113685
Campania,28,2,30,311,341,9,21,4126,434,4837,64,4901,322294,163877
Emilia-Romagna,78,4,82,1317,1399,27,49,23778,4284,28269,1192,29461,609845,364681
Friuli Venezia Giulia,8,2,10,93,103,5,5,2925,345,3359,14,3373,239572,121861
Lazio,186,9,195,733,928,12,19,6749,858,6162,2373,8535,402012,331790
Liguria,27,0,27,173,200,2,3,8381,1566,8463,1684,10147,179747,96298
Lombardia,148,13,161,6614,6775,16,79,72271,16801,89482,6365,95847,1253500,752200
Marche,3,1,4,125,129,-3,2,5702,987,6818,0,6818,161615,96918
Molise,0,0,0,21,21,3,3,419,23,461,2,463,26749,25598
P.A. Bolzano,6,0,6,81,87,4,6,2314,292,2693,0,2693,100311,51322
P.A. Trento,2,0,2,86,88,1,2,4466,405,3391,1568,4959,147418,70932
Piemonte,141,5,146,646,792,16,16,26677,4125,25540,6054,31594,483764,297089
Puglia,16,0,16,60,76,9,8,3961,549,1984,2602,4586,227533,156395
Sardegna,6,0,6,13,19,3,3,1235,134,1364,24,1388,102749,87120
Sicilia,15,2,17,164,181,11,13,2715,283,2770,409,3179,262154,208167
Toscana,13,0,13,330,343,8,10,8941,1131,10186,229,10415,407195,271049
Umbria,7,0,7,10,17,-2,0,1368,80,1444,21,1465,116596,75819
Valle d'Aosta,1,0,1,0,1,0,0,1049,146,1079,117,1196,20776,15193
Veneto,30,1,31,674,705,20,31,17021,2064,19355,435,19790,1170795,471262
