denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,185,6,191,1126,1317,-72,8,1499,389,,,3205,61123,42244
Basilicata,22,1,23,50,73,-11,0,293,27,,,393,23986,23376
Calabria,49,1,50,303,353,-29,3,707,96,,,1156,58468,56209
Campania,318,12,330,1112,1442,-76,7,2871,401,,,4714,150764,71118
Emilia-Romagna,626,96,722,4376,5098,-232,50,18258,4008,,,27364,274362,171903
Friuli Venezia Giulia,76,2,78,518,596,-4,6,2291,322,,,3209,108671,67449
Lazio,1119,74,1193,2593,3786,0,28,3100,647,,,7533,217849,173903
Liguria,310,22,332,1846,2178,-86,32,5725,1386,,,9289,85140,49819
Lombardia,4281,231,4512,22159,26671,-620,294,43442,15662,,,85775,607863,359922
Marche,125,16,141,1833,1974,-154,2,3716,987,,,6677,90093,57604
Molise,7,2,9,189,198,-14,0,202,22,,,422,12158,11727
P.A. Bolzano,43,5,48,224,272,-36,0,2024,291,,,2587,56310,25601
P.A. Trento,39,6,45,81,126,-78,10,3787,455,,,4368,72031,42140
Piemonte,1513,96,1609,7542,9151,-484,158,17016,3718,,,29885,264624,177088
Puglia,242,21,263,1639,1902,-39,11,2027,478,,,4407,95895,66164
Sardegna,68,10,78,253,331,-10,1,898,126,,,1355,45572,39460
Sicilia,118,11,129,1394,1523,-1,8,1620,268,,,3411,123573,110205
Toscana,178,45,223,1894,2117,-206,14,6867,998,,,9982,214299,154671
Umbria,25,2,27,39,66,0,0,1287,74,,,1427,59220,41748
Valle d'Aosta,25,1,26,20,46,-3,0,986,143,,,1175,12920,10079
Veneto,255,16,271,3261,3532,-222,33,13666,1832,,,19030,536798,285786
