denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,13,1,14,100,114,2,9,2783,471,3130,238,3368,125155,82423
Basilicata,2,0,2,45,47,1,1,374,28,402,47,449,45979,45189
Calabria,3,0,3,75,78,-1,0,1072,97,1159,88,1247,116790,114756
Campania,29,4,33,332,365,13,14,4127,434,4858,68,4926,324552,165961
Emilia-Romagna,77,4,81,1375,1456,12,33,23814,4285,28302,1253,29555,617813,375850
Friuli Venezia Giulia,8,2,10,102,112,7,0,2918,345,3361,14,3375,241291,122564
Lazio,193,9,202,742,944,9,13,6762,861,6172,2395,8567,407440,336276
Liguria,29,1,30,180,210,7,24,8398,1566,8484,1690,10174,182797,97867
Lombardia,137,14,151,6574,6725,-46,34,72429,16801,89531,6424,95955,1265549,759439
Marche,5,0,5,107,112,-10,2,5728,987,6827,0,6827,162840,97635
Molise,1,0,1,24,25,3,3,421,23,467,2,469,27019,25868
P.A. Bolzano,7,0,7,87,94,2,2,2314,292,2700,0,2700,101707,52154
P.A. Trento,1,0,1,93,94,1,1,4467,405,3392,1574,4966,148644,71334
Piemonte,141,5,146,656,802,0,4,26681,4127,25441,6169,31610,487189,299026
Puglia,15,0,15,64,79,1,3,3962,551,1985,2607,4592,230475,158704
Sardegna,5,0,5,10,15,-4,0,1236,135,1364,22,1386,103468,87773
Sicilia,22,4,26,168,194,-1,3,2719,283,2777,419,3196,264940,210021
Toscana,13,0,13,350,363,8,8,8944,1131,10207,231,10438,411665,273792
Umbria,7,1,8,9,17,0,0,1368,80,1444,21,1465,117303,76311
Valle d'Aosta,1,0,1,0,1,0,0,1049,146,1079,117,1196,20977,15320
Veneto,31,0,31,703,734,12,16,17027,2064,19360,465,19825,1182530,474106
