denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,113,6,119,625,744,-31,1,2093,408,,,3245,76924,52646
Basilicata,4,0,4,24,28,-1,0,344,27,,,399,29956,29196
Calabria,20,1,21,114,135,-9,0,926,97,,,1158,70892,68633
Campania,224,6,230,709,939,-41,4,3454,413,,,4806,203858,99580
Emilia-Romagna,383,54,437,2631,3068,-95,19,20617,4124,,,27809,329358,198884
Friuli Venezia Giulia,40,2,42,224,266,-12,1,2673,335,,,3274,135431,80085
Lazio,594,56,650,2244,2894,-89,10,4105,739,,,7738,257563,208081
Liguria,191,7,198,413,611,-58,56,7641,1467,,,9719,107787,60117
Lombardia,3085,167,3252,17609,20861,-135,50,52026,16131,,,89018,757446,447874
Marche,63,9,72,1255,1327,-11,0,4416,987,,,6730,103994,65848
Molise,2,2,4,131,135,-10,0,279,22,,,436,14819,14147
P.A. Bolzano,13,4,17,106,123,-4,1,2184,291,,,2598,67121,31254
P.A. Trento,14,3,17,276,293,-11,2,3677,462,,,4432,89235,48853
Piemonte,904,54,958,4104,5062,-99,21,21720,3876,,,30658,321476,209006
Puglia,140,11,151,1004,1155,-22,4,2837,506,,,4498,119650,80390
Sardegna,23,1,24,137,161,-24,1,1065,131,,,1357,57687,49354
Sicilia,65,8,73,894,967,-19,0,2202,274,,,3443,151186,129103
Toscana,85,25,110,972,1082,-29,3,7977,1048,,,10107,253845,180233
Umbria,15,2,17,14,31,0,0,1324,76,,,1431,70741,50790
Valle d'Aosta,11,0,11,6,17,2,3,1027,143,,,1187,15230,11950
Veneto,110,6,116,1352,1468,-32,2,15768,1918,,,19154,675934,335650
