denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,303,16,319,1560,1879,-32,16,758,327,,,2964,39916,29308
Basilicata,48,4,52,139,191,-2,2,164,25,,,380,13722,13722
Calabria,100,4,104,609,713,-14,0,311,88,,,1112,37928,35975
Campania,470,27,497,2224,2721,-32,15,1376,362,,,4459,83592,45955
Emilia-Romagna,2033,196,2229,7094,9323,-161,206,12913,3614,,,25850,192135,128005
Friuli Venezia Giulia,131,5,136,973,1109,-6,18,1655,295,,,3059,73855,47259
Lazio,1370,96,1466,2986,4452,6,84,1807,497,,,6756,147078,114761
Liguria,647,68,715,2883,3598,80,186,3519,1195,,,8312,53202,34037
Lombardia,6529,545,7074,29593,36667,194,533,26146,14189,,,77002,403702,243383
Marche,399,46,445,2760,3205,-6,23,2177,916,,,6298,62834,41156
Molise,9,1,10,172,182,-8,1,98,21,,,301,7075,6808
P.A. Bolzano,113,10,123,580,703,-54,7,1553,279,,,2535,43804,20036
P.A. Trento,138,19,157,1125,1282,-11,49,2474,425,,,4181,39579,23380
Piemonte,2550,178,2728,12991,15719,157,495,8334,3126,,,27179,168479,118814
Puglia,416,39,455,2499,2954,7,34,757,422,,,4133,65370,63782
Sardegna,86,13,99,631,730,-14,2,466,119,,,1315,26990,24065
Sicilia,396,30,426,1760,2186,15,19,787,240,,,3213,84352,77590
Toscana,519,118,637,4728,5365,-8,80,3297,863,,,9525,148223,112437
Umbria,60,13,73,123,196,-8,1,1130,68,,,1394,38072,26463
Valle d'Aosta,70,3,73,25,98,6,3,901,137,,,1136,7951,5931
Veneto,970,108,1078,6353,7431,-348,126,9291,1502,,,18224,370978,216997
