denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,324,24,348,1720,2068,7,27,496,295,,,2859,33820,26184
Basilicata,57,7,64,155,219,1,5,122,25,,,366,10077,10077
Calabria,118,8,126,671,797,-14,1,212,80,,,1089,30853,28900
Campania,536,45,581,2343,2924,-11,32,1062,345,,,4331,67218,42279
Emilia-Romagna,2695,245,2940,9401,12341,-6,241,8723,3386,,,24450,161928,109192
Friuli Venezia Giulia,129,13,142,1106,1248,164,14,1405,264,,,2917,59681,38202
Lazio,1442,161,1603,2970,4573,12,85,1347,389,,,6309,121677,93811
Liguria,748,82,830,2650,3480,47,187,2894,1114,,,7488,42607,27852
Lombardia,8481,706,9187,25979,35166,693,920,24398,13325,,,72889,337797,208471
Marche,668,58,726,2582,3308,36,53,1924,879,,,6111,52063,35107
Molise,20,1,21,179,200,2,4,75,21,,,296,5567,5334
P.A. Bolzano,138,14,152,842,994,-41,5,1218,269,,,2481,37431,17895
P.A. Trento,199,24,223,1459,1682,-62,56,1807,405,,,3894,32142,19902
Piemonte,2866,214,3080,12439,15519,17,394,6478,2823,,,24820,135142,96977
Puglia,464,48,512,2425,2937,18,36,612,399,,,3948,55992,55397
Sardegna,95,20,115,668,783,-11,9,388,109,,,1280,21101,19162
Sicilia,445,33,478,1629,2107,-165,35,720,228,,,3055,70104,65689
Toscana,677,158,835,5234,6069,-77,132,2300,778,,,9147,127394,99751
Umbria,91,17,108,188,296,-1,2,1008,64,,,1368,32569,22320
Valle d'Aosta,82,7,89,165,254,-59,6,721,131,,,1106,6135,4624
Veneto,1097,124,1221,7917,9138,-294,80,7018,1315,,,17471,316361,183513
