denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,328,23,351,1679,2030,-38,15,545,299,,,2874,34176,26443
Basilicata,57,7,64,153,217,-2,0,124,25,,,366,10364,10364
Calabria,114,6,120,662,782,-15,7,231,83,,,1096,31787,29834
Campania,541,37,578,2299,2877,-47,18,1120,352,,,4349,68727,42463
Emilia-Romagna,2640,247,2887,9338,12225,-116,212,9006,3431,,,24662,164979,111041
Friuli Venezia Giulia,130,13,143,1115,1258,10,60,1448,271,,,2977,60940,39330
Lazio,1464,143,1607,2955,4562,-11,83,1433,397,,,6392,124769,95719
Liguria,754,83,837,2743,3580,100,154,2934,1128,,,7642,44039,28739
Lombardia,7525,680,8205,27236,35441,275,590,24589,13449,,,73479,342850,211523
Marche,667,58,725,2585,3310,2,16,1933,884,,,6127,52765,35617
Molise,20,1,21,179,200,0,0,75,21,,,296,5656,5423
P.A. Bolzano,150,16,166,774,940,-54,15,1286,270,,,2496,38640,18423
P.A. Trento,201,23,224,1483,1707,25,101,1881,407,,,3995,33152,20199
Piemonte,2830,214,3044,12464,15508,-11,278,6712,2878,,,25098,139348,99144
Puglia,449,51,500,2412,2912,-25,10,641,405,,,3958,56976,55897
Sardegna,97,19,116,660,776,-7,3,398,109,,,1283,21395,19424
Sicilia,440,35,475,1648,2123,16,30,731,231,,,3085,70650,66749
Toscana,671,154,825,5158,5983,-86,32,2401,795,,,9179,129048,100869
Umbria,90,16,106,181,287,-9,2,1018,65,,,1370,32823,22492
Valle d'Aosta,86,7,93,142,235,-19,5,743,133,,,1111,6551,4873
Veneto,1099,123,1222,7638,8860,-278,108,7375,1344,,,17579,320027,192751
