denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,263,12,275,1495,1770,-21,25,954,348,,,3072,45021,32186
Basilicata,48,2,50,105,155,-17,-16,202,26,,,383,16272,15780
Calabria,81,2,83,550,633,-11,3,403,89,,,1125,42854,40806
Campania,415,27,442,1697,2139,-201,9,2023,379,,,4541,101025,50463
Emilia-Romagna,1726,173,1899,6112,8011,-380,108,14710,3766,,,26487,217039,141468
Friuli Venezia Giulia,109,2,111,816,927,-35,13,1872,308,,,3107,82012,51123
Lazio,1291,89,1380,2968,4348,-85,39,2143,543,,,7034,165340,130351
Liguria,525,57,582,2666,3248,-58,94,4143,1254,,,8645,61446,38071
Lombardia,5848,480,6328,25687,32015,262,720,33329,14745,,,80089,455294,262964
Marche,328,41,369,2878,3247,11,31,2257,948,,,6452,71017,46258
Molise,8,0,8,162,170,-9,1,113,22,,,305,8237,7912
P.A. Bolzano,87,11,98,453,551,-28,9,1715,286,,,2552,47091,21284
P.A. Trento,99,11,110,800,910,-72,3,2935,438,,,4283,46500,28486
Piemonte,2147,150,2297,12172,14469,-389,196,10384,3282,,,28135,194584,134567
Puglia,355,35,390,2410,2800,-103,49,1004,441,,,4245,72796,51638
Sardegna,90,9,99,484,583,-40,5,622,119,,,1324,31064,27540
Sicilia,349,21,370,1757,2127,-74,7,910,251,,,3288,95695,85674
Toscana,437,91,528,4188,4716,-372,26,4052,915,,,9683,166062,124295
Umbria,47,9,56,85,141,-30,1,1194,70,,,1405,42788,29708
Valle d'Aosta,49,2,51,79,130,3,4,881,139,,,1150,8939,6702
Veneto,872,87,959,5575,6534,-255,74,10430,1589,,,18553,410212,236281
