denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,24,1,25,172,197,7,12,2817,472,3160,326,3486,134980,87799
Basilicata,2,0,2,73,75,1,1,373,28,402,74,476,49119,48319
Calabria,9,1,10,91,101,4,4,1089,97,1159,128,1287,127309,125275
Campania,32,2,34,338,372,0,5,4245,438,4970,85,5055,347947,181846
Emilia-Romagna,81,4,85,1627,1712,37,44,24046,4294,28490,1562,30052,722280,434744
Friuli Venezia Giulia,11,3,14,146,160,5,6,2936,346,3413,29,3442,267861,130500
Lazio,189,8,197,820,1017,9,20,6901,866,6239,2545,8784,437898,359225
Liguria,20,1,21,193,214,-2,4,8493,1569,8447,1829,10276,199248,105987
Lombardia,162,9,171,5376,5547,-98,76,74403,16832,89970,6812,96782,1358872,816988
Marche,14,0,14,142,156,-2,3,5795,987,6937,1,6938,175022,104534
Molise,1,0,1,34,35,0,0,421,23,475,4,479,29006,27851
P.A. Bolzano,8,0,8,115,123,-5,5,2351,292,2766,0,2766,112928,58633
P.A. Trento,5,0,5,74,79,-3,1,4509,405,3399,1594,4993,161775,74756
Piemonte,87,3,90,700,790,-2,31,26904,4136,24959,6871,31830,519034,316746
Puglia,27,0,27,151,178,8,9,3973,554,1805,2900,4705,254939,176113
Sardegna,6,0,6,48,54,-4,0,1245,134,1374,59,1433,112611,95280
Sicilia,37,4,41,356,397,28,28,2743,284,2885,539,3424,294383,228395
Toscana,14,1,15,442,457,22,23,8989,1137,10311,272,10583,447250,294690
Umbria,8,0,8,34,42,9,10,1376,80,1456,42,1498,127488,81336
Valle d'Aosta,5,0,5,14,19,2,2,1051,146,1098,118,1216,22340,16048
Veneto,29,6,35,1193,1228,13,63,17287,2083,19517,1081,20598,1309917,508892
