denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,61,2,63,375,438,-30,2,2386,457,,,3281,94391,63630
Basilicata,0,1,1,9,10,0,0,364,27,,,401,36011,35221
Calabria,18,0,18,15,33,-3,0,1032,97,,,1162,84265,82203
Campania,48,2,50,208,258,-15,1,3925,431,,,4614,258207,124041
Emilia-Romagna,173,11,184,1161,1345,-60,14,22551,4215,,,28111,426730,252139
Friuli Venezia Giulia,16,0,16,83,99,0,2,2857,343,,,3299,166064,96534
Lazio,284,38,322,717,1039,-90,10,6120,818,,,7977,305906,248746
Liguria,73,2,75,169,244,2,5,8120,1532,,,9896,130870,70737
Lombardia,1796,59,1855,13117,14972,-261,242,60850,16480,,,92302,917881,547133
Marche,21,0,21,564,585,-16,1,5185,994,,,6764,123770,74827
Molise,1,0,1,61,62,-3,1,355,23,,,440,19635,18684
P.A. Bolzano,8,1,9,78,87,-6,0,2232,292,,,2611,77230,37210
P.A. Trento,2,0,2,56,58,-6,1,3926,465,,,4449,105841,56032
Piemonte,448,25,473,1912,2385,-65,41,24720,4026,,,31131,377165,238650
Puglia,46,2,48,276,324,-29,0,3656,536,,,4516,154143,101350
Sardegna,11,0,11,20,31,-2,1,1203,132,,,1366,71452,60606
Sicilia,25,3,28,777,805,-1,2,2377,280,,,3462,184412,154287
Toscana,33,14,47,397,444,-19,2,8657,1092,,,10193,300612,212090
Umbria,7,2,9,9,18,0,0,1342,77,,,1437,84511,59407
Valle d'Aosta,5,0,5,3,8,-2,0,1039,144,,,1191,16918,12996
Veneto,37,1,38,642,680,-38,4,16558,1987,,,19225,837394,379280
